Player,Launch Angle
Corey Conners (2018),9.78
Russell Knox (2018),9.77
Hudson Swafford (2018),9.77
Ryan Armour (2018),9.74
Tiger Woods (2018),9.72
Ben Martin (2018),9.67
Nicholas Lindheim (2018),9.66
Andrew Putnam (2018),9.57
Andrew Yun (2018),9.54
"Ted Potter, Jr. (2018)",9.53
Rob Oppenheim (2018),9.51
Aaron Baddeley (2018),9.5
Talor Gooch (2018),9.48
Paul Casey (2018),9.47
Lucas Glover (2018),9.26
Kevin Na (2018),9.23
Sam Ryder (2018),9.14
Seamus Power (2018),9.06
Harris English (2018),9.03
Kevin Tway (2018),9.01
Charles Howell III (2018),8.93
Rod Pampling (2018),8.8
Russell Henley (2018),8.8
Ian Poulter (2018),8.77
Nick Watney (2018),8.69
Ethan Tracy (2018),8.68
Conrad Shindler (2018),8.52
Jhonattan Vegas (2018),8.47
Adam Scott (2018),8.42
Matt Jones (2018),8.19
Peter Uihlein (2018),8.17
Lanto Griffin (2018),8.08
Robert Streb (2018),7.72
Adam Schenk (2018),7.72
Ollie Schniederjans (2018),7.52
Ricky Barnes (2018),7.14
