Player,AvgClubheadSpeed
Charles Howell III (2015),119.26
John Senden (2015),119.07
Martin Flores (2015),118.68
Kevin Chappell (2015),118.61
Nick Watney (2015),118.09
Phil Mickelson (2015),118.09
Aaron Baddeley (2015),118.04
Brendan Steele (2015),118.01
Ricky Barnes (2015),117.94
Keegan Bradley (2015),117.87
Robert Garrigus (2015),117.85
Patrick Reed (2015),117.85
Graham DeLaet (2015),117.83
Harris English (2015),117.74
Stewart Cink (2015),117.72
Steven Bowditch (2015),117.61
Rickie Fowler (2015),117.5
Charl Schwartzel (2015),117.41
Max Homa (2015),117.35
Paul Casey (2015),117.16
Ángel Cabrera (2015),117.14
Justin Rose (2015),117.1
Seung-Yul Noh (2015),116.99
Shawn Stefani (2015),116.95
Will Wilcox (2015),116.92
Michael Putnam (2015),116.89
Jimmy Walker (2015),116.89
Robert Streb (2015),116.82
Scott Pinckney (2015),116.53
Russell Henley (2015),116.51
Martin Laird (2015),116.35
Justin Thomas (2015),116.34
Lucas Glover (2015),116.34
Charley Hoffman (2015),116.3
Matt Jones (2015),116.27
Lee Westwood (2015),115.81
Andres Gonzales (2015),115.75
Marc Leishman (2015),115.69
George McNeill (2015),115.69
Alex Prugh (2015),115.67
Ryo Ishikawa (2015),115.58
Byron Smith (2015),115.48
Tom Hoge (2015),115.37
Carlos Ortiz (2015),115.32
Greg Owen (2015),115.24
Scott Piercy (2015),115.2
Pat Perez (2015),115.12
Ryan Palmer (2015),115.11
Jim Herman (2015),114.98
Jonathan Randolph (2015),114.89
Scott Stallings (2015),114.85
Gonzalo Fernandez-Castaño (2015),114.82
Roger Sloan (2015),114.69
Adam Hadwin (2015),114.67
Jamie Donaldson (2015),114.63
Louis Oosthuizen (2015),114.57
Sean O'Hair (2015),114.51
Ben Martin (2015),114.46
Hideki Matsuyama (2015),114.39
Andres Romero (2015),114.14
James Hahn (2015),114.12
Troy Merritt (2015),114.09
Sam Saunders (2015),114.08
Padraig Harrington (2015),114.07
Geoff Ogilvy (2015),114.01
Eric Axley (2015),113.96
Retief Goosen (2015),113.85
J.J. Henry (2015),113.84
Morgan Hoffmann (2015),113.63
Brendon de Jonge (2015),113.62
Matt Every (2015),113.62
Sangmoon Bae (2015),113.53
Boo Weekley (2015),113.44
Billy Horschel (2015),113.38
Johnson Wagner (2015),113.33
Kevin Streelman (2015),113.32
Camilo Villegas (2015),113.03
Davis Love III (2015),112.89
Andrew Svoboda (2015),112.86
Jordan Spieth (2015),112.79
Jason Gore (2015),112.76
Kevin Na (2015),112.65
Tyrone Van Aswegen (2015),112.63
Michael Thompson (2015),112.56
John Peterson (2015),112.52
Jason Dufner (2015),112.3
Erik Compton (2015),112.23
Bo Van Pelt (2015),112.21
Bill Haas (2015),112.2
Vijay Singh (2015),112.19
Hunter Mahan (2015),112.11
Cameron Percy (2015),112.04
Chesson Hadley (2015),112.04
Blayne Barber (2015),112
Derek Fathauer (2015),111.96
Steve Wheatcroft (2015),111.96
Kyle Reifers (2015),111.94
Scott Brown (2015),111.87
Fabián Gómez (2015),111.86
Jonathan Byrd (2015),111.84
Ian Poulter (2015),111.8
Carl Pettersson (2015),111.76
Whee Kim (2015),111.74
Jim Renner (2015),111.62
Rory Sabbatini (2015),111.62
Webb Simpson (2015),111.6
William McGirt (2015),111.54
Nick Taylor (2015),111.51
Sung Joon Park (2015),111.47
Jonas Blixt (2015),111.36
Andrew Putnam (2015),111.35
Mark Hubbard (2015),111.16
Kevin Kisner (2015),111.11
Luke Guthrie (2015),111
D.A. Points (2015),111
Oscar Fraustro (2015),110.83
Spencer Levin (2015),110.77
Brice Garnett (2015),110.7
Chris Kirk (2015),110.67
Brandt Snedeker (2015),110.67
Ernie Els (2015),110.54
Matt Kuchar (2015),110.53
Francesco Molinari (2015),110.49
Daniel Summerhays (2015),110.42
David Lingmerth (2015),110.38
Brian Harman (2015),110.24
Russell Knox (2015),110.22
Ken Duke (2015),110.2
Chad Campbell (2015),110.19
Nicholas Thompson (2015),110.15
Jeff Overton (2015),110.11
Scott Langley (2015),110.02
Greg Chalmers (2015),110.02
Robert Allenby (2015),109.97
Roberto Castro (2015),109.8
Bill Lunde (2015),109.68
Luke Donald (2015),109.64
Chad Collins (2015),109.6
Danny Lee (2015),109.56
John Merrick (2015),109.44
Chez Reavie (2015),109.32
Jim Furyk (2015),109.28
Chris Stroud (2015),109.22
John Huh (2015),109.06
Ryan Moore (2015),108.89
Zac Blair (2015),108.72
Cameron Tringale (2015),108.67
Bryce Molder (2015),108.64
Alex Cejka (2015),108.52
Jason Bohn (2015),108.49
Billy Hurley III (2015),108.47
David Hearn (2015),107.95
Zach Johnson (2015),107.74
Tim Wilkinson (2015),107.69
Mark Wilson (2015),107.25
Colt Knost (2015),107.19
K.J. Choi (2015),107.02
Jerry Kelly (2015),106.85
Brendon Todd (2015),106.8
Brian Stuard (2015),106.31
Jon Curran (2015),106.17
Steven Alker (2015),106.13
Brian Davis (2015),105.49
Ben Crane (2015),104.59
Justin Leonard (2015),104.11
Heath Slocum (2015),103.6
David Toms (2015),101.87
Andrew Loupe (2016),125.5
Gary Woodland (2016),124.78
Jhonattan Vegas (2016),123.94
Tony Finau (2016),123.67
Hudson Swafford (2016),123.67
Sergio Garcia (2016),122.83
Luke List (2016),122.58
Dustin Johnson (2016),122.42
Brooks Koepka (2016),121.84
Bubba Watson (2016),121.63
J.B. Holmes (2016),121.16
Derek Ernst (2016),120.85
Jason Kokrak (2016),120.46
Jamie Lovemark (2016),120.18
Rory McIlroy (2016),119.84
Smylie Kaufman (2016),119.84
Adam Scott (2016),119.75
Patrick Rodgers (2016),118.83
Charles Howell III (2016),118.53
Patrick Reed (2016),118.5
Charl Schwartzel (2016),118.45
Justin Rose (2016),118.38
Greg Owen (2016),118.35
Brendan Steele (2016),118.29
Jason Day (2016),118.26
Graham DeLaet (2016),118.21
Harold Varner III (2016),118.18
Ricky Barnes (2016),117.9
John Senden (2016),117.83
Rickie Fowler (2016),117.71
Paul Casey (2016),117.62
Stewart Cink (2016),117.28
Dawie van der Walt (2016),117.23
Steven Bowditch (2016),117.12
Kevin Chappell (2016),117.02
Scott Pinckney (2016),116.91
Robert Garrigus (2016),116.9
Matt Jones (2016),116.86
Justin Thomas (2016),116.79
Keegan Bradley (2016),116.67
Daniel Berger (2016),116.35
Rhein Gibson (2016),116.33
Aaron Baddeley (2016),116.2
Robert Streb (2016),116.17
Charley Hoffman (2016),116.05
Carlos Ortiz (2016),115.89
Andres Gonzales (2016),115.87
Harris English (2016),115.8
Lucas Glover (2016),115.63
Ángel Cabrera (2016),115.59
Branden Grace (2016),115.59
Phil Mickelson (2016),115.41
Martin Laird (2016),115.33
Jimmy Walker (2016),115.3
Tom Hoge (2016),115.18
Will Wilcox (2016),115.16
Marc Leishman (2016),115.1
Seung-Yul Noh (2016),115.02
George McNeill (2016),114.96
Ryan Palmer (2016),114.93
Si Woo Kim (2016),114.75
Emiliano Grillo (2016),114.67
Jim Herman (2016),114.49
Bill Haas (2016),114.43
Shawn Stefani (2016),114.38
Steve Marino (2016),114.24
Sean O'Hair (2016),114.21
Adam Hadwin (2016),114.05
Russell Henley (2016),114
Rod Pampling (2016),113.74
Jason Dufner (2016),113.69
Geoff Ogilvy (2016),113.67
Scott Piercy (2016),113.64
Ben Martin (2016),113.57
Shane Lowry (2016),113.51
Hunter Mahan (2016),113.44
Sung Kang (2016),113.4
Billy Horschel (2016),113.38
Louis Oosthuizen (2016),113.34
Patton Kizzire (2016),113.15
Hiroshi Iwata (2016),113.1
Rob Oppenheim (2016),113.09
James Hahn (2016),113.08
Henrik Norlander (2016),113.05
Hideki Matsuyama (2016),112.84
Freddie Jacobson (2016),112.81
Bronson Burgoon (2016),112.71
Fabián Gómez (2016),112.61
Brendon de Jonge (2016),112.57
Morgan Hoffmann (2016),112.55
Tyrone Van Aswegen (2016),112.52
Scott Stallings (2016),112.45
Jason Gore (2016),112.44
Padraig Harrington (2016),112.36
Brett Stegmaier (2016),112.34
Wes Roach (2016),112.32
Anirban Lahiri (2016),112.26
Kevin Na (2016),112.24
Michael Thompson (2016),112.18
Chesson Hadley (2016),112.18
Boo Weekley (2016),112.17
Mark Hubbard (2016),112.15
Erik Compton (2016),112.14
Chris Stroud (2016),112.12
Sam Saunders (2016),112.1
Brandt Snedeker (2016),111.96
Steve Wheatcroft (2016),111.95
Jordan Spieth (2016),111.86
Kevin Streelman (2016),111.82
Scott Brown (2016),111.74
William McGirt (2016),111.72
Francesco Molinari (2016),111.72
Retief Goosen (2016),111.7
Cameron Smith (2016),111.7
Webb Simpson (2016),111.69
Daniel Summerhays (2016),111.66
Kyle Stanley (2016),111.6
Thomas Aiken (2016),111.53
Nick Taylor (2016),111.43
Chad Campbell (2016),111.38
Russell Knox (2016),111.37
Whee Kim (2016),111.35
Roberto Castro (2016),111.17
Kelly Kraft (2016),111.1
J.J. Henry (2016),111.1
Graeme McDowell (2016),111.1
Rory Sabbatini (2016),110.99
Luke Guthrie (2016),110.89
Jonas Blixt (2016),110.86
Kyle Reifers (2016),110.82
Scott Langley (2016),110.79
Derek Fathauer (2016),110.78
Michael Kim (2016),110.74
Johnson Wagner (2016),110.66
Brian Harman (2016),110.49
Cameron Tringale (2016),110.43
Luke Donald (2016),110.43
Troy Merritt (2016),110.41
Andrew Landry (2016),110.35
Kevin Kisner (2016),110.18
Ernie Els (2016),110.18
Danny Lee (2016),110.16
Tyler Aldridge (2016),110.09
Camilo Villegas (2016),110.06
Chris Kirk (2016),109.99
Vijay Singh (2016),109.93
Chad Collins (2016),109.93
Bryce Molder (2016),109.89
Will MacKenzie (2016),109.77
Blayne Barber (2016),109.64
Martin Piller (2016),109.62
David Lingmerth (2016),109.41
John Huh (2016),109.38
Steve Stricker (2016),109.23
Matt Kuchar (2016),108.89
Billy Hurley III (2016),108.82
Jon Curran (2016),108.71
D.A. Points (2016),108.7
Spencer Levin (2016),108.68
Chez Reavie (2016),108.67
Jeff Overton (2016),108.6
Jim Furyk (2016),108.27
Stuart Appleby (2016),108.07
D.H. Lee (2016),107.94
Peter Malnati (2016),107.92
David Hearn (2016),107.8
Alex Cejka (2016),107.76
Jason Bohn (2016),107.76
Ken Duke (2016),107.56
Brendon Todd (2016),107.49
Dicky Pride (2016),107.35
Robert Allenby (2016),107.32
Mark Wilson (2016),107.22
Ryan Moore (2016),107.18
Vaughn Taylor (2016),107.07
Zac Blair (2016),107.01
Abraham Ancer (2016),106.9
Tim Wilkinson (2016),106.69
K.J. Choi (2016),106.23
Zach Johnson (2016),106.13
Jerry Kelly (2016),105.99
Ben Crane (2016),105.86
Colt Knost (2016),105.34
Brian Stuard (2016),104.54
David Toms (2016),100.91
Ryan Brehm (2017),128.18
Brandon Hagy (2017),126.49
Andrew Loupe (2017),124.63
Brooks Koepka (2017),124.28
Ollie Schniederjans (2017),123.34
Jhonattan Vegas (2017),123.16
Tony Finau (2017),123.11
Gary Woodland (2017),122.67
Hudson Swafford (2017),122.67
Kevin Tway (2017),122.57
J.B. Holmes (2017),121.68
Patrick Rodgers (2017),121.55
Bubba Watson (2017),121.46
Dustin Johnson (2017),121.17
Luke List (2017),120.71
Grayson Murray (2017),120.48
Trey Mullinax (2017),120.29
Rory McIlroy (2017),120.03
Kevin Chappell (2017),119.95
Sergio Garcia (2017),119.76
Jason Kokrak (2017),119.54
Jason Day (2017),119.47
Nick Watney (2017),119.36
Charl Schwartzel (2017),119.35
Harold Varner III (2017),118.82
Daniel Berger (2017),118.78
Adam Scott (2017),118.55
Jamie Lovemark (2017),118.54
Marc Leishman (2017),118.53
Xander Schauffele (2017),118.34
Matt Jones (2017),118.29
Hideki Matsuyama (2017),118.13
Sebastián Muñoz (2017),118.11
Seamus Power (2017),117.93
Martin Flores (2017),117.85
Harris English (2017),117.82
Bryson DeChambeau (2017),117.74
Brendan Steele (2017),117.37
Brian Campbell (2017),117.31
Smylie Kaufman (2017),117.28
Robert Garrigus (2017),117.24
Charley Hoffman (2017),117.23
Matt Every (2017),117.14
Justin Thomas (2017),117.07
Patrick Reed (2017),116.86
Justin Rose (2017),116.84
Ryo Ishikawa (2017),116.7
Graham DeLaet (2017),116.69
Jon Rahm (2017),116.68
Seung-Yul Noh (2017),116.62
Ryan Palmer (2017),116.59
Steven Bowditch (2017),116.55
