Player,AvgClubheadSpeed
Jonathan Randolph (2018),111.45
Graeme McDowell (2018),111.44
Russell Knox (2018),111.36
C.T. Pan (2018),111.32
Cameron Tringale (2018),111.28
Blayne Barber (2018),111.16
Brandt Snedeker (2018),111.12
Cameron Percy (2018),111.11
Austin Cook (2018),110.96
Danny Lee (2018),110.92
Webb Simpson (2018),110.89
Satoshi Kodaira (2018),110.87
Andrew Landry (2018),110.86
Brett Stegmaier (2018),110.85
Ben Silverman (2018),110.66
Michael Kim (2018),110.64
Andrew Yun (2018),110.52
Jonas Blixt (2018),110.49
Derek Fathauer (2018),110.46
William McGirt (2018),110.35
Zach Johnson (2018),110
Brian Harman (2018),109.93
Nick Taylor (2018),109.88
Martin Piller (2018),109.67
Whee Kim (2018),109.67
Chad Campbell (2018),109.5
David Lingmerth (2018),109.47
Ryan Moore (2018),109.43
Steve Wheatcroft (2018),109.41
John Huh (2018),109.36
Billy Hurley III (2018),109.3
Ryan Armour (2018),109.29
Daniel Summerhays (2018),109.15
Richy Werenski (2018),109.08
Chez Reavie (2018),108.83
Roberto Díaz (2018),108.82
Wesley Bryan (2018),108.78
Johnson Wagner (2018),108.61
Kelly Kraft (2018),108.58
Greg Chalmers (2018),108.56
Ryan Blaum (2018),108.05
Matt Kuchar (2018),107.97
D.A. Points (2018),107.93
Zac Blair (2018),107.9
Ben Crane (2018),107.78
David Hearn (2018),107.54
Alex Cejka (2018),107.28
Vaughn Taylor (2018),107.04
Kyle Thompson (2018),106.27
Brian Stuard (2018),105.86
Brian Gay (2018),105.76
Jim Furyk (2018),105.27
