Player,Spin Rate OTT
Hudson Swafford (2015),2991.2
John Senden (2015),2983.7
Ben Martin (2015),2982.9
Billy Hurley III (2015),2971.1
William McGirt (2015),2949.6
Pat Perez (2015),2943
Michael Putnam (2015),2939.3
Sergio Garcia (2015),2938.2
Adam Hadwin (2015),2924.1
Zac Blair (2015),2892.1
Scott Pinckney (2015),2887
George McNeill (2015),2870.4
Ryo Ishikawa (2015),2863.7
Kevin Na (2015),2847.8
Rickie Fowler (2015),2843
Ken Duke (2015),2827.4
Ian Poulter (2015),2825.7
Roberto Castro (2015),2822.5
Martin Flores (2015),2820.8
Sung Joon Park (2015),2798.4
Charlie Beljan (2015),2780.3
Matt Jones (2015),2772.7
Gonzalo Fernandez-Castaño (2015),2765.7
Jim Furyk (2015),2762.3
Ricky Barnes (2015),2760.6
Tony Finau (2015),2758.3
Colt Knost (2015),2756.9
D.A. Points (2015),2749.9
Jhonattan Vegas (2015),2746.5
Jason Gore (2015),2736.7
Jonathan Byrd (2015),2727.6
Eric Axley (2015),2724
Cameron Tringale (2015),2721.9
Chad Collins (2015),2721.2
Max Homa (2015),2716.9
Jon Curran (2015),2715.6
Charley Hoffman (2015),2713.2
Jamie Donaldson (2015),2709.6
Ángel Cabrera (2015),2705.1
Jason Bohn (2015),2696.1
Michael Thompson (2015),2696
Kevin Streelman (2015),2693.2
Bryce Molder (2015),2685.3
Andrew Svoboda (2015),2684.5
Andres Gonzales (2015),2670.6
Sangmoon Bae (2015),2667.9
Harris English (2015),2663.9
Daniel Summerhays (2015),2660.3
Stewart Cink (2015),2659.3
Paul Casey (2015),2658.4
Greg Chalmers (2015),2653.4
Charles Howell III (2015),2652.9
Phil Mickelson (2015),2646.2
Byron Smith (2015),2644.1
Alex Prugh (2015),2644
Will Wilcox (2015),2642.1
Blayne Barber (2015),2636.9
Patrick Reed (2015),2634.3
Seung-Yul Noh (2015),2631.1
Robert Streb (2015),2627.7
Bill Haas (2015),2620.2
Francesco Molinari (2015),2617
Justin Leonard (2015),2614.8
Kyle Reifers (2015),2614.2
Brandt Snedeker (2015),2614
Patrick Rodgers (2015),2608.3
Hideki Matsuyama (2015),2603.6
Steve Wheatcroft (2015),2603.4
Padraig Harrington (2015),2603.2
Luke Guthrie (2015),2602.2
David Lingmerth (2015),2599.7
Derek Ernst (2015),2599.2
Spencer Levin (2015),2598.4
Chris Stroud (2015),2597.2
Jimmy Walker (2015),2595
John Huh (2015),2594.8
Matt Every (2015),2593.1
Russell Henley (2015),2588
Bubba Watson (2015),2583.8
Marc Leishman (2015),2582
Tom Hoge (2015),2580.1
