Player,Spin Rate OTT
Jason Dufner (2018),2587.9
Brandt Snedeker (2018),2584.6
Peter Malnati (2018),2583.2
J.T. Poston (2018),2581.3
Aaron Wise (2018),2580.3
Kiradech Aphibarnrat (2018),2579.8
D.A. Points (2018),2578
Nick Taylor (2018),2573
Cameron Tringale (2018),2570.7
Webb Simpson (2018),2570.6
Chris Kirk (2018),2570.5
Sean O'Hair (2018),2567
Matt Every (2018),2561
Grayson Murray (2018),2560.1
Jason Kokrak (2018),2559.8
Bud Cauley (2018),2552.7
Rory Sabbatini (2018),2551.6
Zach Johnson (2018),2548.7
Daniel Summerhays (2018),2547.8
Andrew Landry (2018),2545.6
Tyler Duncan (2018),2544.5
Tiger Woods (2018),2542.5
Steve Wheatcroft (2018),2541.4
Cameron Smith (2018),2539.8
Patrick Cantlay (2018),2535
Matt Atkins (2018),2527.8
Jamie Lovemark (2018),2525.1
Brendan Steele (2018),2521.7
Brice Garnett (2018),2520.8
Austin Cook (2018),2518.2
Kevin Streelman (2018),2517.9
Anirban Lahiri (2018),2515.2
Ben Crane (2018),2514.5
Brian Harman (2018),2509.7
Sung Kang (2018),2506.9
Whee Kim (2018),2504.3
Scott Stallings (2018),2500.5
Chez Reavie (2018),2500
Jonas Blixt (2018),2496.8
Rafa Cabrera Bello (2018),2488.3
Nate Lashley (2018),2484.4
Byeong Hun An (2018),2481.9
Derek Fathauer (2018),2479.8
J.J. Spaun (2018),2478.9
Fabián Gómez (2018),2475.7
Ryan Moore (2018),2472.9
Graeme McDowell (2018),2458.3
Satoshi Kodaira (2018),2458.1
Lanto Griffin (2018),2451.1
Matt Kuchar (2018),2447.8
Ricky Barnes (2018),2427.3
Johnson Wagner (2018),2421
Chesson Hadley (2018),2414.2
Justin Rose (2018),2411.9
Jon Rahm (2018),2398.8
Bronson Burgoon (2018),2390.6
Wesley Bryan (2018),2389
Shawn Stefani (2018),2384.9
Tyrone Van Aswegen (2018),2374.3
Justin Thomas (2018),2365.3
Ryan Palmer (2018),2360.6
Jimmy Walker (2018),2360.1
Sam Saunders (2018),2344.5
James Hahn (2018),2343.9
Vaughn Taylor (2018),2343
Brian Gay (2018),2339.9
Jordan Spieth (2018),2335.6
Martin Flores (2018),2317.8
Harold Varner III (2018),2311.1
Robert Garrigus (2018),2292.3
Kyle Thompson (2018),2286.4
Nicholas Lindheim (2018),2266.6
Beau Hossler (2018),2247.7
Rory McIlroy (2018),2239.7
Brett Stegmaier (2018),2219.9
Retief Goosen (2018),2218.2
Cameron Percy (2018),2216.1
Greg Chalmers (2018),2213
John Huh (2018),2197.1
Jason Day (2018),2144
Cody Gribble (2018),2127.3
