Player,Sand Save %
Aaron Baddeley (2015),59.13
Lee Westwood (2015),59.04
Brandt Snedeker (2015),59.04
Jamie Donaldson (2015),58.97
Jordan Spieth (2015),58.14
Scott Langley (2015),57.94
K.J. Choi (2015),57.29
Jon Curran (2015),57.14
Bill Lunde (2015),56.9
Jonas Blixt (2015),56.64
Sam Saunders (2015),56.64
Michael Putnam (2015),56.56
Zach Johnson (2015),56.25
Ryan Moore (2015),55.86
Rickie Fowler (2015),55.83
Brian Harman (2015),55.8
Kyle Reifers (2015),55.63
James Hahn (2015),55.47
Rory Sabbatini (2015),55.45
Colt Knost (2015),55.34
Carlos Ortiz (2015),55.19
Roberto Castro (2015),54.88
Chris Stroud (2015),54.84
Mark Wilson (2015),54.63
Scott Brown (2015),54.2
Hunter Mahan (2015),54.19
Brian Davis (2015),54.14
Matt Jones (2015),54.04
Chad Campbell (2015),53.91
Tyrone Van Aswegen (2015),53.85
Mark Hubbard (2015),53.78
Brooks Koepka (2015),53.68
George McNeill (2015),53.68
Eric Axley (2015),53.54
D.A. Points (2015),53.49
Cameron Tringale (2015),53.47
Jimmy Walker (2015),53.42
William McGirt (2015),53.42
Daniel Berger (2015),53.38
Phil Mickelson (2015),53.29
Stewart Cink (2015),53.26
David Lingmerth (2015),53.24
Pat Perez (2015),52.86
Tim Wilkinson (2015),52.71
Ben Crane (2015),52.63
Ian Poulter (2015),52.54
Robert Streb (2015),52.53
Bill Haas (2015),52.5
Jonathan Randolph (2015),52.29
Matt Every (2015),52.27
Patrick Reed (2015),52.24
Bryce Molder (2015),52.03
Sangmoon Bae (2015),52
Martin Laird (2015),51.82
Andrew Putnam (2015),51.82
Steve Wheatcroft (2015),51.77
Sean O'Hair (2015),51.77
Ernie Els (2015),51.76
Jim Herman (2015),51.75
Brendan Steele (2015),51.75
John Huh (2015),51.63
Steven Alker (2015),51.61
Seung-Yul Noh (2015),51.55
John Peterson (2015),51.26
Vijay Singh (2015),51.16
Charl Schwartzel (2015),50.98
Adam Hadwin (2015),50.96
Luke Guthrie (2015),50.85
Derek Fathauer (2015),50.78
Erik Compton (2015),50.77
Brian Stuard (2015),50.7
Greg Chalmers (2015),50.63
Graham DeLaet (2015),50.54
Jason Gore (2015),50.51
Nick Watney (2015),50.42
Martin Flores (2015),50.36
Charley Hoffman (2015),50.3
Carl Pettersson (2015),50.3
Nick Taylor (2015),50
Adam Scott (2015),50
John Senden (2015),50
Kevin Kisner (2015),50
Justin Thomas (2015),49.64
Ben Martin (2015),49.59
Brice Garnett (2015),49.58
Marc Leishman (2015),49.57
Chesson Hadley (2015),49.44
Henrik Stenson (2015),49.43
Ryo Ishikawa (2015),49.31
Scott Pinckney (2015),49.17
Ryan Palmer (2015),49.15
Lucas Glover (2015),49.11
Michael Thompson (2015),48.92
Cameron Percy (2015),48.86
Ken Duke (2015),48.82
Hideki Matsuyama (2015),48.82
Morgan Hoffmann (2015),48.67
Jerry Kelly (2015),48.65
J.B. Holmes (2015),48.65
Francesco Molinari (2015),48.61
Scott Stallings (2015),48.39
Justin Leonard (2015),48.15
Jeff Overton (2015),48.05
Jason Kokrak (2015),48
Billy Hurley III (2015),47.93
Harris English (2015),47.89
Kevin Streelman (2015),47.1
Billy Horschel (2015),47.06
Blayne Barber (2015),47.06
Ricky Barnes (2015),46.92
Bubba Watson (2015),46.88
Andres Gonzales (2015),46.85
Greg Owen (2015),46.75
Alex Cejka (2015),46.67
Boo Weekley (2015),46.61
Daniel Summerhays (2015),46.58
Nicholas Thompson (2015),46.28
Jason Bohn (2015),46.15
Roger Sloan (2015),46.03
Kevin Chappell (2015),45.93
Troy Merritt (2015),45.89
Andres Romero (2015),45.87
Jhonattan Vegas (2015),45.79
Shawn Stefani (2015),45.65
Sergio Garcia (2015),45.56
