Player,Sand Save %
Kevin Kisner (2018),44
Nicholas Lindheim (2018),43.96
Grayson Murray (2018),43.93
J.J. Spaun (2018),43.9
Nick Watney (2018),43.79
Derek Fathauer (2018),43.62
Sam Ryder (2018),43.48
Richy Werenski (2018),43.33
Fabián Gómez (2018),43.2
Robert Garrigus (2018),43.2
Rod Pampling (2018),43.2
Chez Reavie (2018),43.06
Scott Brown (2018),42.86
Andrew Landry (2018),42.64
Russell Henley (2018),42.54
Adam Schenk (2018),42.36
J.J. Henry (2018),42.22
C.T. Pan (2018),42.07
Retief Goosen (2018),41.89
Mackenzie Hughes (2018),41.74
Ryan Blaum (2018),41.54
Gary Woodland (2018),41.49
Brice Garnett (2018),41.43
Hunter Mahan (2018),40.95
Jason Kokrak (2018),40.88
Martin Flores (2018),40.65
Jhonattan Vegas (2018),39.64
Satoshi Kodaira (2018),39.53
Ethan Tracy (2018),34.86
Andrew Yun (2018),34.33
Tyler Duncan (2018),32.43
