 Player,Putt 15-20 % Made
Tony Finau (2018),15.5
Kyle Thompson (2018),15.49
Tom Hoge (2018),15.29
Troy Merritt (2018),15.27
Bill Haas (2018),15.24
Corey Conners (2018),15.19
Patrick Cantlay (2018),15.17
Justin Thomas (2018),15.15
Nick Taylor (2018),15.11
Fabián Gómez (2018),15.09
Francesco Molinari (2018),15.04
Nate Lashley (2018),14.86
Bronson Burgoon (2018),14.85
Byeong Hun An (2018),14.71
Bubba Watson (2018),14.69
Scott Piercy (2018),14.67
J.B. Holmes (2018),14.62
Joel Dahmen (2018),14.49
Trey Mullinax (2018),14.18
Beau Hossler (2018),14.04
Justin Rose (2018),14.02
Jordan Spieth (2018),13.64
Andrew Putnam (2018),13.55
Henrik Stenson (2018),13.51
Stewart Cink (2018),13.46
Satoshi Kodaira (2018),12.79
Tyler Duncan (2018),12.79
Brendan Steele (2018),12.04
Chris Stroud (2018),11.76
Richy Werenski (2018),11.19
Steve Wheatcroft (2018),10.2
Zecheng Dou (2018),8.45
