 Player,Putt 15-20 % Made
Kevin Na (2015),22.83
Scott Pinckney (2015),22.73
Blayne Barber (2015),22.73
Robert Streb (2015),22.46
Fabián Gómez (2015),22.3
David Hearn (2015),22.16
Steve Wheatcroft (2015),22.08
Andres Gonzales (2015),22.08
Adam Scott (2015),22.06
Erik Compton (2015),22.05
Kyle Reifers (2015),22
Martin Laird (2015),21.99
Henrik Stenson (2015),21.95
Colt Knost (2015),21.94
Cameron Tringale (2015),21.94
K.J. Choi (2015),21.85
Brian Davis (2015),21.83
Dustin Johnson (2015),21.7
Troy Merritt (2015),21.53
Ángel Cabrera (2015),21.43
Adam Hadwin (2015),21.39
Matt Jones (2015),21.31
Morgan Hoffmann (2015),21.3
Carl Pettersson (2015),21.24
Zach Johnson (2015),21.23
Russell Henley (2015),21.19
Aaron Baddeley (2015),21.13
Bubba Watson (2015),21.1
Brendan Steele (2015),21.09
Ricky Barnes (2015),21.01
Jhonattan Vegas (2015),20.8
Andrew Svoboda (2015),20.74
Harris English (2015),20.74
Jonas Blixt (2015),20.69
Kevin Chappell (2015),20.67
Patrick Reed (2015),20.63
Brendon de Jonge (2015),20.63
Jason Gore (2015),20.61
Shawn Stefani (2015),20.57
Paul Casey (2015),20.51
Robert Garrigus (2015),20.51
Webb Simpson (2015),20.49
Jason Dufner (2015),20.48
David Toms (2015),20.47
Billy Horschel (2015),20.44
George McNeill (2015),20.22
Ian Poulter (2015),20.21
Jonathan Byrd (2015),20.2
Francesco Molinari (2015),20.19
Ryan Palmer (2015),20.18
J.B. Holmes (2015),20.18
Bo Van Pelt (2015),20.14
William McGirt (2015),20.1
Scott Stallings (2015),20
Justin Leonard (2015),20
John Huh (2015),19.89
Chesson Hadley (2015),19.87
Matt Every (2015),19.8
Chris Kirk (2015),19.79
Scott Brown (2015),19.73
Ben Martin (2015),19.64
Patrick Rodgers (2015),19.59
Nick Watney (2015),19.51
Ken Duke (2015),19.48
Mark Hubbard (2015),19.47
Sam Saunders (2015),19.4
Scott Langley (2015),19.35
Sergio Garcia (2015),19.3
Tyrone Van Aswegen (2015),19.28
Charl Schwartzel (2015),19.23
Ryan Moore (2015),19.2
Charlie Beljan (2015),19.15
Brandt Snedeker (2015),19.15
Hideki Matsuyama (2015),19.08
Kevin Streelman (2015),19.08
Lee Westwood (2015),19.05
Greg Chalmers (2015),18.84
Alex Cejka (2015),18.75
Rory Sabbatini (2015),18.6
Jason Bohn (2015),18.44
