Player,Prox to Hole ARG
Kevin Chappell (2015),6.67
Luke Donald (2015),6.67
Steven Bowditch (2015),6.67
Justin Leonard (2015),6.67
Mark Wilson (2015),6.67
Matt Kuchar (2015),6.67
Cameron Tringale (2015),6.67
Heath Slocum (2015),6.75
Ian Poulter (2015),6.75
Bryce Molder (2015),6.75
Chris Kirk (2015),6.75
Rickie Fowler (2015),6.83
Camilo Villegas (2015),6.83
Jonas Blixt (2015),6.83
Chris Stroud (2015),6.83
Louis Oosthuizen (2015),6.83
J.B. Holmes (2015),6.83
Erik Compton (2015),6.83
Vijay Singh (2015),6.83
Patrick Reed (2015),6.83
Luke Guthrie (2015),6.83
Zac Blair (2015),6.92
Phil Mickelson (2015),6.92
David Toms (2015),6.92
Justin Rose (2015),6.92
Ben Crane (2015),6.92
K.J. Choi (2015),6.92
Zach Johnson (2015),6.92
Boo Weekley (2015),6.92
Chez Reavie (2015),6.92
Billy Hurley III (2015),6.92
Kevin Kisner (2015),6.92
Danny Lee (2015),7
D.A. Points (2015),7
Andrew Putnam (2015),7
David Lingmerth (2015),7
Sung Joon Park (2015),7
Patrick Rodgers (2015),7.08
Derek Ernst (2015),7.08
Carl Pettersson (2015),7.08
Pat Perez (2015),7.08
Ernie Els (2015),7.08
Alex Cejka (2015),7.08
Colt Knost (2015),7.08
John Merrick (2015),7.08
Jason Day (2015),7.17
Tyrone Van Aswegen (2015),7.17
Ryan Moore (2015),7.17
Brian Harman (2015),7.17
Ryo Ishikawa (2015),7.17
Jim Renner (2015),7.17
William McGirt (2015),7.17
Russell Knox (2015),7.17
Greg Owen (2015),7.17
Ryan Palmer (2015),7.17
Sergio Garcia (2015),7.17
Jason Bohn (2015),7.17
Ricky Barnes (2015),7.17
Bill Haas (2015),7.17
Gonzalo Fernandez-Castaño (2015),7.25
Nick Taylor (2015),7.25
George McNeill (2015),7.25
Brian Davis (2015),7.25
Greg Chalmers (2015),7.25
Retief Goosen (2015),7.25
Robert Allenby (2015),7.25
Chad Campbell (2015),7.25
James Hahn (2015),7.25
Kyle Reifers (2015),7.25
David Hearn (2015),7.25
Marc Leishman (2015),7.25
Johnson Wagner (2015),7.25
Matt Jones (2015),7.25
Seung-Yul Noh (2015),7.25
Whee Kim (2015),7.25
Jon Curran (2015),7.25
Morgan Hoffmann (2015),7.25
Roger Sloan (2015),7.25
Mark Hubbard (2015),7.33
Matt Every (2015),7.33
Martin Laird (2015),7.33
Charl Schwartzel (2015),7.33
Brian Stuard (2015),7.33
Derek Fathauer (2015),7.33
Davis Love III (2015),7.33
Aaron Baddeley (2015),7.33
Robert Garrigus (2015),7.33
Adam Scott (2015),7.33
Bo Van Pelt (2015),7.33
Jamie Donaldson (2015),7.33
Jason Kokrak (2015),7.42
Jhonattan Vegas (2015),7.42
Byron Smith (2015),7.42
Nick Watney (2015),7.5
Keegan Bradley (2015),7.5
Jimmy Walker (2015),7.5
Bubba Watson (2015),7.5
J.J. Henry (2015),7.5
Cameron Percy (2015),7.5
Max Homa (2015),7.5
Daniel Berger (2015),7.5
Will Wilcox (2015),7.5
Blayne Barber (2015),7.5
Harris English (2015),7.58
Sean O'Hair (2015),7.58
Ben Martin (2015),7.58
Brendan Steele (2015),7.58
Scott Stallings (2015),7.58
Tony Finau (2015),7.58
Daniel Summerhays (2015),7.58
Lucas Glover (2015),7.58
Jeff Overton (2015),7.58
Martin Flores (2015),7.58
