Player,Prox to Hole ARG
Steve Wheatcroft (2018),8.25
Daniel Summerhays (2018),8.25
Greg Chalmers (2018),8.25
Ethan Tracy (2018),8.33
Ben Silverman (2018),8.33
Robert Streb (2018),8.33
Brett Stegmaier (2018),8.33
Billy Horschel (2018),8.33
Martin Flores (2018),8.33
Kyle Thompson (2018),8.33
Aaron Wise (2018),8.42
Cody Gribble (2018),8.42
Mackenzie Hughes (2018),8.42
Beau Hossler (2018),8.42
Lanto Griffin (2018),8.42
Andrew Landry (2018),8.42
Alex Noren (2018),8.42
Patton Kizzire (2018),8.5
Gary Woodland (2018),8.5
Matt Every (2018),8.5
Brendan Steele (2018),8.58
Scott Brown (2018),8.58
Tom Lovelady (2018),8.67
J.J. Spaun (2018),8.75
Russell Henley (2018),8.75
Nick Watney (2018),8.75
Bubba Watson (2018),8.75
Adam Schenk (2018),8.83
Hunter Mahan (2018),8.92
Trey Mullinax (2018),9.17
Satoshi Kodaira (2018),9.33
