Player,Putt <10 % Made
Jason Day (2016),88.68
Kelly Kraft (2016),88.67
Zach Johnson (2016),88.67
Retief Goosen (2016),88.64
Brendon Todd (2016),88.57
Harris English (2016),88.55
Adam Hadwin (2016),88.53
Matt Kuchar (2016),88.53
Mark Hubbard (2016),88.52
Brendon de Jonge (2016),88.51
Derek Fathauer (2016),88.49
Luke Donald (2016),88.48
Jimmy Walker (2016),88.47
Peter Malnati (2016),88.46
Spencer Levin (2016),88.46
Gary Woodland (2016),88.43
Thomas Aiken (2016),88.42
David Lingmerth (2016),88.4
Erik Compton (2016),88.35
Brandt Snedeker (2016),88.33
Russell Henley (2016),88.29
Ben Martin (2016),88.29
Jordan Spieth (2016),88.27
Paul Casey (2016),88.27
Patton Kizzire (2016),88.24
Mark Wilson (2016),88.24
Michael Kim (2016),88.19
Hudson Swafford (2016),88.19
Alex Cejka (2016),88.17
Daniel Berger (2016),88.16
Scott Langley (2016),88.13
Jonas Blixt (2016),88.11
Justin Thomas (2016),88.07
David Hearn (2016),88.07
Ricky Barnes (2016),88.07
John Senden (2016),88.07
Wes Roach (2016),88.03
Dawie van der Walt (2016),88.02
Seung-Yul Noh (2016),88
John Huh (2016),87.99
Sung Kang (2016),87.97
Sean O'Hair (2016),87.97
Anirban Lahiri (2016),87.96
Brett Stegmaier (2016),87.96
Steve Stricker (2016),87.96
Chad Collins (2016),87.94
Stuart Appleby (2016),87.94
Jason Bohn (2016),87.92
Whee Kim (2016),87.9
Tyrone Van Aswegen (2016),87.77
Johnson Wagner (2016),87.7
D.H. Lee (2016),87.68
Graeme McDowell (2016),87.66
Luke Guthrie (2016),87.65
Patrick Rodgers (2016),87.63
Camilo Villegas (2016),87.62
Kevin Chappell (2016),87.58
Will Wilcox (2016),87.57
Zac Blair (2016),87.54
Shawn Stefani (2016),87.53
Russell Knox (2016),87.53
J.J. Henry (2016),87.52
Ryan Palmer (2016),87.49
Billy Horschel (2016),87.48
Jerry Kelly (2016),87.46
Andres Gonzales (2016),87.43
Adam Scott (2016),87.42
Cameron Smith (2016),87.41
Scott Pinckney (2016),87.37
Graham DeLaet (2016),87.33
Stewart Cink (2016),87.32
Nick Taylor (2016),87.3
Jim Herman (2016),87.28
Jason Gore (2016),87.28
Hiroshi Iwata (2016),87.27
Lucas Glover (2016),87.27
Roberto Castro (2016),87.26
Dustin Johnson (2016),87.25
Steve Wheatcroft (2016),87.24
Jason Kokrak (2016),87.23
K.J. Choi (2016),87.23
Scott Brown (2016),87.22
Bronson Burgoon (2016),87.22
Scott Piercy (2016),87.21
Branden Grace (2016),87.2
Brooks Koepka (2016),87.18
Shane Lowry (2016),87.18
Danny Lee (2016),87.18
Blayne Barber (2016),87.16
Tyler Aldridge (2016),87.15
Hunter Mahan (2016),87.15
Ernie Els (2016),87.15
Rhein Gibson (2016),87.08
Chez Reavie (2016),87.08
Si Woo Kim (2016),87.05
Bill Haas (2016),87.05
Fabián Gómez (2016),87.03
Louis Oosthuizen (2016),87.03
Jhonattan Vegas (2016),87.02
Kyle Reifers (2016),87.01
Morgan Hoffmann (2016),86.97
Brian Stuard (2016),86.96
Kevin Streelman (2016),86.92
Hideki Matsuyama (2016),86.9
Kyle Stanley (2016),86.9
Sergio Garcia (2016),86.9
James Hahn (2016),86.89
Vijay Singh (2016),86.88
Francesco Molinari (2016),86.86
Chad Campbell (2016),86.86
Chris Stroud (2016),86.8
Keegan Bradley (2016),86.77
Tony Finau (2016),86.77
Ángel Cabrera (2016),86.77
Tim Wilkinson (2016),86.73
Smylie Kaufman (2016),86.71
Henrik Norlander (2016),86.7
Steve Marino (2016),86.64
Chesson Hadley (2016),86.6
Cameron Tringale (2016),86.6
Scott Stallings (2016),86.57
Harold Varner III (2016),86.54
Jamie Lovemark (2016),86.5
Sam Saunders (2016),86.49
Brendan Steele (2016),86.45
Dicky Pride (2016),86.45
Andrew Loupe (2016),86.35
Will MacKenzie (2016),86.35
Geoff Ogilvy (2016),86.32
Justin Rose (2016),86.31
Michael Thompson (2016),86.25
Kevin Na (2016),86.25
Robert Allenby (2016),86.25
Derek Ernst (2016),86.22
Matt Jones (2016),86.22
Steven Bowditch (2016),86.2
Robert Streb (2016),86.18
Padraig Harrington (2016),86.14
Jeff Overton (2016),86
Rory McIlroy (2016),85.97
Jason Dufner (2016),85.94
Abraham Ancer (2016),85.93
Tom Hoge (2016),85.9
Luke List (2016),85.9
Rob Oppenheim (2016),85.88
Bubba Watson (2016),85.82
Vaughn Taylor (2016),85.81
Robert Garrigus (2016),85.78
Carlos Ortiz (2016),85.76
Charley Hoffman (2016),85.73
Boo Weekley (2016),85.49
J.B. Holmes (2016),85.44
Rod Pampling (2016),85.33
Charl Schwartzel (2016),85.2
Webb Simpson (2016),84.96
D.A. Points (2016),84.82
George McNeill (2016),84.49
Ken Duke (2016),84.46
Rory Sabbatini (2016),83.59
Greg Owen (2016),83.12
Shane Lowry (2017),90.24
Brian Harman (2017),90.04
Michael Thompson (2017),89.78
Cameron Smith (2017),89.54
Brian Gay (2017),89.27
Patrick Reed (2017),89.26
Rafa Cabrera Bello (2017),89.2
Luke Donald (2017),89.18
Ryan Blaum (2017),89.17
Xander Schauffele (2017),89.12
David Lingmerth (2017),89.04
Hunter Mahan (2017),89.03
Spencer Levin (2017),88.94
Geoff Ogilvy (2017),88.93
Charles Howell III (2017),88.9
Chez Reavie (2017),88.8
Harris English (2017),88.79
Kevin Kisner (2017),88.79
Brandt Snedeker (2017),88.77
Steve Wheatcroft (2017),88.76
Zach Johnson (2017),88.74
Louis Oosthuizen (2017),88.65
J.T. Poston (2017),88.61
Bryce Molder (2017),88.61
Greg Chalmers (2017),88.58
Scott Brown (2017),88.57
Brandon Hagy (2017),88.52
Richy Werenski (2017),88.5
Marc Leishman (2017),88.48
Jason Bohn (2017),88.44
Ernie Els (2017),88.43
Mackenzie Hughes (2017),88.41
Seamus Power (2017),88.41
Gonzalo Fernandez-Castaño (2017),88.36
Blayne Barber (2017),88.34
Ian Poulter (2017),88.34
Derek Fathauer (2017),88.33
Brian Campbell (2017),88.32
Phil Mickelson (2017),88.31
Peter Malnati (2017),88.28
Chad Collins (2017),88.28
Matt Jones (2017),88.27
Russell Henley (2017),88.26
Adam Hadwin (2017),88.26
Kevin Tway (2017),88.24
Rickie Fowler (2017),88.22
Daniel Summerhays (2017),88.22
John Huh (2017),88.18
Hudson Swafford (2017),88.16
Andres Gonzales (2017),88.15
Matt Kuchar (2017),88.12
Michael Kim (2017),88.11
Jim Herman (2017),88.09
J.J. Spaun (2017),88.08
Bill Haas (2017),88.08
Billy Hurley III (2017),88.06
David Hearn (2017),88.03
C.T. Pan (2017),88.01
Shawn Stefani (2017),87.99
Ryan Moore (2017),87.99
Seung-Yul Noh (2017),87.95
Danny Lee (2017),87.92
Graham DeLaet (2017),87.9
Patrick Cantlay (2017),87.89
Martin Laird (2017),87.87
William McGirt (2017),87.86
Webb Simpson (2017),87.86
Ricky Barnes (2017),87.86
J.J. Henry (2017),87.83
Carl Pettersson (2017),87.82
Martin Flores (2017),87.8
Wesley Bryan (2017),87.77
Charl Schwartzel (2017),87.77
K.J. Choi (2017),87.77
Sean O'Hair (2017),87.76
Whee Kim (2017),87.74
James Hahn (2017),87.72
Tim Wilkinson (2017),87.7
Søren Kjeldsen (2017),87.7
Julián Etulain (2017),87.67
Johnson Wagner (2017),87.66
Brooks Koepka (2017),87.65
Cameron Tringale (2017),87.65
Stewart Cink (2017),87.65
Ryo Ishikawa (2017),87.61
Billy Horschel (2017),87.6
Jonas Blixt (2017),87.59
Lucas Glover (2017),87.59
Sung Kang (2017),87.57
Dustin Johnson (2017),87.5
Graeme McDowell (2017),87.5
Tyrone Van Aswegen (2017),87.49
Chris Stroud (2017),87.44
Ryan Brehm (2017),87.42
Fabián Gómez (2017),87.37
Daniel Berger (2017),87.36
Cody Gribble (2017),87.35
Ben Martin (2017),87.34
Tom Hoge (2017),87.33
Mark Hubbard (2017),87.3
Ollie Schniederjans (2017),87.29
Jordan Spieth (2017),87.27
Sam Saunders (2017),87.23
Paul Casey (2017),87.21
Steven Alker (2017),87.18
Charley Hoffman (2017),87.15
Robert Streb (2017),87.13
Vaughn Taylor (2017),87.12
Jon Rahm (2017),87.1
Justin Thomas (2017),87.07
Mark Anderson (2017),87.04
Jamie Lovemark (2017),87.01
Chad Campbell (2017),86.96
Patrick Rodgers (2017),86.92
Kelly Kraft (2017),86.92
Kyle Reifers (2017),86.91
Jim Furyk (2017),86.91
Sebastián Muñoz (2017),86.89
Kyle Stanley (2017),86.88
Jason Day (2017),86.88
Roberto Castro (2017),86.85
Keegan Bradley (2017),86.84
Smylie Kaufman (2017),86.78
Jonathan Randolph (2017),86.78
Camilo Villegas (2017),86.77
Tag Ridings (2017),86.77
Troy Merritt (2017),86.73
Nick Watney (2017),86.71
Alex Cejka (2017),86.71
Grayson Murray (2017),86.67
Pat Perez (2017),86.66
Trey Mullinax (2017),86.65
Jimmy Walker (2017),86.62
Nick Taylor (2017),86.62
Kevin Chappell (2017),86.57
Chris Kirk (2017),86.57
Dominic Bozzelli (2017),86.54
Tony Finau (2017),86.54
Rick Lamb (2017),86.52
Andrew Loupe (2017),86.52
J.B. Holmes (2017),86.52
Ryan Armour (2017),86.52
