Player,Putt <10 % Made
Austin Cook (2019),86.69
Sung Kang (2019),86.64
Jim Knous (2019),86.62
Bronson Burgoon (2019),86.6
Shawn Stefani (2019),86.56
Hank Lebioda (2019),86.54
J.J. Henry (2019),86.52
Adam Svensson (2019),86.46
Kevin Na (2019),86.45
Tony Finau (2019),86.42
Adam Scott (2019),86.38
Tyler Duncan (2019),86.37
Aaron Wise (2019),86.36
Jhonattan Vegas (2019),86.28
Russell Knox (2019),86.28
Scott Stallings (2019),86.26
Keegan Bradley (2019),86.25
Francesco Molinari (2019),86.24
Ben Silverman (2019),86.24
John Chin (2019),86.18
Curtis Luck (2019),86.18
Seth Reeves (2019),86.18
Sepp Straka (2019),86.1
Luke List (2019),86.05
Corey Conners (2019),86.05
Charley Hoffman (2019),85.97
Dustin Johnson (2019),85.93
Alex Noren (2019),85.85
Jonathan Byrd (2019),85.76
Emiliano Grillo (2019),85.73
Gary Woodland (2019),85.53
Alex Cejka (2019),85.49
"Ted Potter, Jr. (2019)",85.44
Rod Pampling (2019),85.39
J.B. Holmes (2019),85.22
Brandon Harkins (2019),85.2
Branden Grace (2019),85.12
Satoshi Kodaira (2019),84.93
