Player,Avg Ball Speed
Cameron Tringale (2018),164.84
Michael Kim (2018),164.54
Graeme McDowell (2018),164.41
Zach Johnson (2018),164.14
Brian Harman (2018),164.02
Whee Kim (2018),163.98
Richy Werenski (2018),163.98
David Lingmerth (2018),163.9
Martin Piller (2018),163.87
Rod Pampling (2018),163.86
Nick Taylor (2018),163.72
Chad Campbell (2018),163.67
Wesley Bryan (2018),163.44
Kelly Kraft (2018),163.12
Steve Wheatcroft (2018),162.91
John Huh (2018),162.77
Ryan Moore (2018),162.68
Jonathan Randolph (2018),162.51
Matt Kuchar (2018),162.45
Daniel Summerhays (2018),162.06
Ryan Blaum (2018),161.74
Billy Hurley III (2018),161.67
Johnson Wagner (2018),161.36
Roberto Díaz (2018),161.27
Ryan Armour (2018),161.19
Chez Reavie (2018),160.99
Greg Chalmers (2018),160.9
Ben Crane (2018),160.75
Alex Cejka (2018),160.36
D.A. Points (2018),160.2
Vaughn Taylor (2018),160.07
David Hearn (2018),159.56
Brian Stuard (2018),158.74
Zac Blair (2018),158.44
Kyle Thompson (2018),158.42
Jim Furyk (2018),157.36
Brian Gay (2018),157.17
