Player,Putt 10-15 % Made
Jhonattan Vegas (2015),35.08
Kevin Chappell (2015),35.03
George McNeill (2015),34.92
Daniel Summerhays (2015),34.91
Robert Streb (2015),34.88
David Hearn (2015),34.83
Jason Bohn (2015),34.6
Andrew Putnam (2015),34.55
Camilo Villegas (2015),34.54
Matt Every (2015),34.43
Blayne Barber (2015),34.38
Charley Hoffman (2015),34.32
Morgan Hoffmann (2015),34.22
Scott Pinckney (2015),33.91
Jonathan Randolph (2015),33.8
Troy Merritt (2015),33.79
Matt Jones (2015),33.7
Scott Langley (2015),33.64
Henrik Stenson (2015),33.63
Seung-Yul Noh (2015),33.53
Paul Casey (2015),33.5
Greg Chalmers (2015),33.33
Zac Blair (2015),33.33
John Huh (2015),33.2
Brice Garnett (2015),33.14
Bubba Watson (2015),33.11
Pat Perez (2015),33.05
Sean O'Hair (2015),33
Carl Pettersson (2015),32.99
Luke Guthrie (2015),32.96
Nick Taylor (2015),32.91
Brian Stuard (2015),32.91
Jonathan Byrd (2015),32.82
Max Homa (2015),32.72
Bryce Molder (2015),32.7
Jeff Overton (2015),32.67
Erik Compton (2015),32.26
Sergio Garcia (2015),32.22
Adam Scott (2015),32.14
Gary Woodland (2015),32.14
Hudson Swafford (2015),32.13
Scott Stallings (2015),32
Keegan Bradley (2015),31.93
Johnson Wagner (2015),31.82
Jason Gore (2015),31.68
Rickie Fowler (2015),31.61
Ryo Ishikawa (2015),31.56
Chesson Hadley (2015),31.48
Whee Kim (2015),31.46
Brendan Steele (2015),31.43
Michael Thompson (2015),31.41
Brian Harman (2015),31.31
John Senden (2015),31.3
Matt Kuchar (2015),31.2
J.B. Holmes (2015),31.15
Tony Finau (2015),31.09
Colt Knost (2015),31.03
Justin Rose (2015),31.03
Brooks Koepka (2015),31.03
Stewart Cink (2015),31.02
Chris Stroud (2015),31.02
Alex Prugh (2015),30.85
Chez Reavie (2015),30.77
Martin Flores (2015),30.59
Jordan Spieth (2015),30.59
Andrew Svoboda (2015),30.57
K.J. Choi (2015),30.36
Shawn Stefani (2015),30.36
Jamie Donaldson (2015),30.34
Fabián Gómez (2015),30.33
Jason Day (2015),30.26
Hunter Mahan (2015),30.23
Harris English (2015),30
Ryan Moore (2015),29.95
Spencer Levin (2015),29.95
Eric Axley (2015),29.91
Cameron Tringale (2015),29.82
Ryan Palmer (2015),29.79
Carlos Ortiz (2015),29.78
Jonas Blixt (2015),29.77
Francesco Molinari (2015),29.73
Andres Gonzales (2015),29.68
Charlie Beljan (2015),29.63
Adam Hadwin (2015),29.44
David Lingmerth (2015),29.28
Boo Weekley (2015),29.23
Dustin Johnson (2015),29.14
Scott Piercy (2015),29.13
Billy Hurley III (2015),29.07
Justin Leonard (2015),29.03
Patrick Rodgers (2015),29.03
Padraig Harrington (2015),29.01
Hideki Matsuyama (2015),29
Nick Watney (2015),28.93
Ben Martin (2015),28.88
Oscar Fraustro (2015),28.81
Ken Duke (2015),28.81
Byron Smith (2015),28.8
Graham DeLaet (2015),28.77
Daniel Berger (2015),28.69
Robert Allenby (2015),28.67
Kyle Reifers (2015),28.57
Sung Joon Park (2015),28.48
Mark Wilson (2015),28.44
Chad Collins (2015),28.39
Jim Furyk (2015),28.33
Zach Johnson (2015),28.16
Davis Love III (2015),28.13
Chad Campbell (2015),28.1
Charles Howell III (2015),28.07
Russell Knox (2015),28.05
Heath Slocum (2015),28.04
Bo Van Pelt (2015),27.91
Billy Horschel (2015),27.88
Steve Wheatcroft (2015),27.87
Alex Cejka (2015),27.78
Will Wilcox (2015),27.78
James Hahn (2015),27.68
Brendon de Jonge (2015),27.5
Mark Hubbard (2015),27.45
Steven Alker (2015),27.4
Louis Oosthuizen (2015),27.27
John Peterson (2015),27.15
Andres Romero (2015),27.03
John Merrick (2015),26.95
Justin Thomas (2015),26.94
Webb Simpson (2015),26.88
Martin Laird (2015),26.87
Michael Putnam (2015),26.84
Steven Bowditch (2015),26.79
D.A. Points (2015),26.75
Sam Saunders (2015),26.74
Kevin Kisner (2015),26.56
Vijay Singh (2015),26.37
Jon Curran (2015),26.29
Tom Hoge (2015),26.19
Bill Haas (2015),26.18
Bill Lunde (2015),25.89
Tim Wilkinson (2015),25.79
Geoff Ogilvy (2015),25.77
Luke Donald (2015),25.64
Kevin Na (2015),25.56
Derek Fathauer (2015),25.41
Rory Sabbatini (2015),25.37
Ricky Barnes (2015),25.28
Kevin Streelman (2015),25
J.J. Henry (2015),24.75
Jim Renner (2015),24.58
Nicholas Thompson (2015),24.51
Jason Dufner (2015),24.5
Charl Schwartzel (2015),24.07
Scott Brown (2015),23.96
Jason Kokrak (2015),23.74
Derek Ernst (2015),23.7
Roger Sloan (2015),23.36
David Toms (2015),23.29
Robert Garrigus (2015),23.03
Jim Herman (2015),22.88
Greg Owen (2015),22.81
Tyrone Van Aswegen (2015),22.56
Gonzalo Fernandez-Castaño (2015),22.35
Roberto Castro (2015),21.55
Ángel Cabrera (2015),21.54
Lucas Glover (2015),21.53
Cameron Percy (2015),20
Ernie Els (2015),19.3
Jason Day (2016),41.18
K.J. Choi (2016),39.88
Steve Stricker (2016),39.22
Shane Lowry (2016),38.24
Charl Schwartzel (2016),37.5
Steve Marino (2016),37.18
Kevin Na (2016),36.63
Tim Wilkinson (2016),35.65
Jonas Blixt (2016),35.47
Smylie Kaufman (2016),35.35
Brian Harman (2016),35.32
Brandt Snedeker (2016),35.2
Freddie Jacobson (2016),34.95
Jordan Spieth (2016),34.87
Scott Brown (2016),34.78
Hunter Mahan (2016),34.75
Andrew Loupe (2016),34.59
Steven Bowditch (2016),34.38
Ryan Palmer (2016),34.38
William McGirt (2016),33.91
Retief Goosen (2016),33.88
D.H. Lee (2016),33.86
Vaughn Taylor (2016),33.75
Brendon de Jonge (2016),33.68
Jon Curran (2016),33.66
Hideki Matsuyama (2016),33.53
Bryce Molder (2016),33.53
Harris English (2016),33.52
Aaron Baddeley (2016),33.52
Jamie Lovemark (2016),33.5
Kevin Kisner (2016),33.33
John Senden (2016),33.05
Kyle Stanley (2016),33.04
Andrew Landry (2016),32.99
Andres Gonzales (2016),32.98
Phil Mickelson (2016),32.93
Derek Fathauer (2016),32.85
Matt Kuchar (2016),32.65
Brooks Koepka (2016),32.6
Sam Saunders (2016),32.5
Boo Weekley (2016),32.49
Luke List (2016),32.37
Paul Casey (2016),32.3
Martin Piller (2016),32.12
Louis Oosthuizen (2016),32.04
Dustin Johnson (2016),31.96
David Hearn (2016),31.93
Rob Oppenheim (2016),31.91
Webb Simpson (2016),31.88
Sean O'Hair (2016),31.63
Charley Hoffman (2016),31.53
Brendon Todd (2016),31.51
Ricky Barnes (2016),31.51
Branden Grace (2016),31.43
Morgan Hoffmann (2016),31.37
Kyle Reifers (2016),31.37
Si Woo Kim (2016),31.28
Tyler Aldridge (2016),31.16
Zac Blair (2016),31.02
Emiliano Grillo (2016),31.02
Luke Guthrie (2016),30.97
Camilo Villegas (2016),30.95
Michael Kim (2016),30.87
Patton Kizzire (2016),30.77
Patrick Reed (2016),30.64
Stuart Appleby (2016),30.64
Billy Horschel (2016),30.52
Mark Hubbard (2016),30.49
Marc Leishman (2016),30.49
Chris Stroud (2016),30.43
Billy Hurley III (2016),30.38
Ángel Cabrera (2016),30.37
Zach Johnson (2016),30.32
Kelly Kraft (2016),30.3
Russell Knox (2016),30.26
Sung Kang (2016),30.25
Vijay Singh (2016),30.22
Hudson Swafford (2016),30.15
Michael Thompson (2016),30.12
Brian Stuard (2016),30.06
Seung-Yul Noh (2016),30.06
Greg Owen (2016),29.86
Thomas Aiken (2016),29.79
George McNeill (2016),29.75
Cameron Tringale (2016),29.74
Adam Hadwin (2016),29.66
Johnson Wagner (2016),29.63
Rory McIlroy (2016),29.53
Rickie Fowler (2016),29.52
Ben Crane (2016),29.51
Jhonattan Vegas (2016),29.49
Ryan Moore (2016),29.47
Tyrone Van Aswegen (2016),29.46
Whee Kim (2016),29.29
Martin Laird (2016),29.29
Jim Herman (2016),29.28
Dicky Pride (2016),29.2
Scott Stallings (2016),29.17
Peter Malnati (2016),28.96
David Lingmerth (2016),28.92
Bronson Burgoon (2016),28.89
Chad Collins (2016),28.87
Scott Pinckney (2016),28.84
Russell Henley (2016),28.79
Daniel Summerhays (2016),28.72
Blayne Barber (2016),28.7
Anirban Lahiri (2016),28.68
Jason Gore (2016),28.65
John Huh (2016),28.64
Robert Garrigus (2016),28.57
Jim Furyk (2016),28.57
Bubba Watson (2016),28.47
Adam Scott (2016),28.4
Luke Donald (2016),28.38
Graham DeLaet (2016),28.32
Gary Woodland (2016),28.3
