Player,Putt 10-15 % Made
Ryan Palmer (2018),27.03
Shane Lowry (2018),27.03
Scott Piercy (2018),27.01
Kevin Streelman (2018),26.92
Matt Every (2018),26.82
Ryan Armour (2018),26.77
Joel Dahmen (2018),26.73
Alex Cejka (2018),26.71
Nate Lashley (2018),26.6
Patton Kizzire (2018),26.51
Brice Garnett (2018),26.39
Keegan Bradley (2018),26.36
Patrick Reed (2018),26.35
Charley Hoffman (2018),26.26
Peter Uihlein (2018),25.98
Tyler Duncan (2018),25.78
Sam Ryder (2018),25.74
Luke List (2018),25.73
Cody Gribble (2018),25.52
Robert Garrigus (2018),25.51
Retief Goosen (2018),25.42
Chad Campbell (2018),25.41
Sean O'Hair (2018),25
Kevin Chappell (2018),25
Jonathan Randolph (2018),24.86
Zecheng Dou (2018),24.27
Andrew Landry (2018),24.26
Si Woo Kim (2018),24.12
James Hahn (2018),23.91
Robert Streb (2018),23.38
Kevin Kisner (2018),23.08
Martin Laird (2018),22.88
Louis Oosthuizen (2018),21.77
Kyle Thompson (2018),21.3
Francesco Molinari (2018),19.59
