Player,Location,Tournament
Brian Harman (2017),North Carolina,Wells Fargo Championship
Kim Si-woo (2017),Florida,The Players Championship
Billy Horschel (2017),Texas,AT&T Byron Nelson
Kevin Kisner (2017),Texas,Dean & DeLuca Invitational
Jason Dufner (2017),Ohio,The Memorial Tournament
Daniel Berger (2017),Tennessee,FedEx St. Jude Classic
Brooks Koepka (2017),Wisconsin,U.S. Open
Jordan Spieth (2017),Connecticut,Travelers Championship
Kyle Stanley (2017),Maryland,Quicken Loans National
Xander Schauffele (2017),West Virginia,Greenbrier Classic
Bryson DeChambeau (2017),Illinois,John Deere Classic
Jordan Spieth (2017),England,The Open Championship (British Open)
Grayson Murray (2017),Alabama,Barbasol Championship
Jhonattan Vegas (2017),Ontario,RBC Canadian Open
Hideki Matsuyama (2017),Ohio,WGC-Bridgestone Invitational
Chris Stroud (2017),Nevada,Barracuda Championship
Justin Thomas (2017),North Carolina,PGA Championship
Henrik Stenson (2017),North Carolina,Wyndham Championship
Dustin Johnson (2017),New York,The Northern Trust
Justin Thomas (2017),Massachusetts,Dell Technologies Championship
Marc Leishman (2017),Illinois,BMW Championship
Xander Schauffele (2017),Georgia,Tour Championship
Brendan Steele (2018),California,Safeway Open
Pat Perez (2018),Malaysia,CIMB Classic
Justin Thomas (2018),South Korea,CJ Cup
Justin Rose (2018),China,WGC-HSBC Champions
Ryan Armour (2018),Mississippi,Sanderson Farms Championship
Patrick Cantlay (2018),Nevada,Shriners Hospitals for Children Open
Patton Kizzire (2018),Mexico,OHL Classic at Mayakoba
Austin Cook (2018),Georgia,RSM Classic
Dustin Johnson (2018),Hawaii,Sentry Tournament of Champions
Patton Kizzire (2018),Hawaii,Sony Open in Hawaii
Jon Rahm (2018),California,CareerBuilder Challenge
Jason Day (2018),California,Farmers Insurance Open
Gary Woodland (2018),Arizona,Waste Management Phoenix Open
Ted Potter Jr. (2018),California,AT&T Pebble Beach Pro-Am
Bubba Watson (2018),California,Genesis Open
Justin Thomas (2018),Florida,The Honda Classic
Phil Mickelson (2018),Mexico,WGC-Mexico Championship
Paul Casey (2018),Florida,Valspar Championship
Rory McIlroy (2018),Florida,Arnold Palmer Invitational
Bubba Watson (2018),Texas,WGC-Dell Technologies Match Play
Brice Garnett (2018),Dominican Republic,"Corales Puntacana Resort
and Club Championship"
Ian Poulter (2018),Texas,Houston Open
Patrick Reed (2018),Georgia,Masters Tournament
Satoshi Kodaira (2018),South Carolina,RBC Heritage
Andrew Landry (2018),Texas,Valero Texas Open
Billy Horschel (2018),Louisiana,Zurich Classic of New Orleans
Jason Day (2018),North Carolina,Wells Fargo Championship
Webb Simpson (2018),Florida,The Players Championship
Aaron Wise (2018),Texas,AT&T Byron Nelson
Justin Rose (2018),Texas,Fort Worth Invitational
Bryson DeChambeau (2018),Ohio,The Memorial Tournament
Dustin Johnson (2018),Tennessee,FedEx St. Jude Classic
Brooks Koepka (2018),New York,U.S. Open
Bubba Watson (2018),Connecticut,Travelers Championship
Francesco Molinari (2018),Maryland,Quicken Loans National
Kevin Na (2018),West Virginia,A Military Tribute at The Greenbrier
