Player,Avg Approach <100
Vijay Singh (2016),18.83
Ben Crane (2016),18.83
Billy Hurley III (2016),18.83
Bronson Burgoon (2016),18.83
Tony Finau (2016),18.92
Harold Varner III (2016),18.92
William McGirt (2016),19
Mark Hubbard (2016),19
Justin Thomas (2016),19.08
Fabián Gómez (2016),19.17
Tyler Aldridge (2016),19.17
Derek Ernst (2016),19.42
Steven Bowditch (2016),19.5
Kevin Chappell (2016),19.58
Carl Pettersson (2016),19.67
Andrew Loupe (2016),19.75
Andres Gonzales (2016),19.83
Jason Kokrak (2016),19.83
Daniel Berger (2016),19.92
Ángel Cabrera (2016),20
Sean O'Hair (2016),20
Shawn Stefani (2016),20
Scott Langley (2016),20
John Huh (2016),20.08
Thomas Aiken (2016),20.17
Justin Rose (2016),20.5
Chesson Hadley (2016),20.58
Patrick Rodgers (2016),20.67
Abraham Ancer (2016),20.75
Branden Grace (2016),20.83
Jhonattan Vegas (2016),21.25
Graeme McDowell (2016),21.5
