Player,Putt >20 % Made
Patrick Reed (2015),9.32
Scott Piercy (2015),9.24
Cameron Tringale (2015),9.17
Stewart Cink (2015),9.15
Matt Kuchar (2015),9.14
Geoff Ogilvy (2015),9.13
Ernie Els (2015),9.13
Steve Wheatcroft (2015),9.13
Rory Sabbatini (2015),9.12
Andres Romero (2015),8.83
Zach Johnson (2015),8.82
Jonas Blixt (2015),8.82
Will Wilcox (2015),8.79
Cameron Percy (2015),8.77
Kevin Na (2015),8.75
Danny Lee (2015),8.75
Ben Martin (2015),8.74
Brandt Snedeker (2015),8.73
Jason Dufner (2015),8.65
Ryo Ishikawa (2015),8.61
Fabián Gómez (2015),8.57
Martin Flores (2015),8.53
Greg Chalmers (2015),8.53
Andrew Putnam (2015),8.52
Phil Mickelson (2015),8.46
Jamie Donaldson (2015),8.33
Brian Harman (2015),8.33
Nicholas Thompson (2015),8.33
Chris Stroud (2015),8.31
Hideki Matsuyama (2015),8.31
Russell Henley (2015),8.29
Tony Finau (2015),8.24
Henrik Stenson (2015),8.24
Zac Blair (2015),8.18
John Merrick (2015),8.15
Brian Stuard (2015),8.1
Andres Gonzales (2015),8.04
Jonathan Byrd (2015),7.95
Colt Knost (2015),7.92
Scott Pinckney (2015),7.92
Ricky Barnes (2015),7.9
Paul Casey (2015),7.89
Jimmy Walker (2015),7.84
Adam Scott (2015),7.84
Bo Van Pelt (2015),7.83
Whee Kim (2015),7.83
Andrew Svoboda (2015),7.78
Tim Wilkinson (2015),7.77
Michael Thompson (2015),7.74
Hudson Swafford (2015),7.72
Carlos Ortiz (2015),7.72
John Huh (2015),7.71
Kevin Chappell (2015),7.64
Gary Woodland (2015),7.64
Charles Howell III (2015),7.61
Jason Bohn (2015),7.6
Tom Hoge (2015),7.55
Adam Hadwin (2015),7.55
Derek Fathauer (2015),7.54
Boo Weekley (2015),7.5
Russell Knox (2015),7.49
Keegan Bradley (2015),7.49
Jerry Kelly (2015),7.48
Carl Pettersson (2015),7.45
Kevin Streelman (2015),7.45
Brendon Todd (2015),7.45
Troy Merritt (2015),7.42
David Lingmerth (2015),7.37
Johnson Wagner (2015),7.37
Bryce Molder (2015),7.37
Erik Compton (2015),7.32
Ángel Cabrera (2015),7.32
Bill Lunde (2015),7.31
Harris English (2015),7.3
Jhonattan Vegas (2015),7.28
Dustin Johnson (2015),7.25
Rickie Fowler (2015),7.24
Brian Davis (2015),7.22
Martin Laird (2015),7.21
Ben Crane (2015),7.17
Mark Wilson (2015),7.16
Sangmoon Bae (2015),7.14
Nick Watney (2015),7.11
Charley Hoffman (2015),7.11
Jason Gore (2015),7.06
Chad Campbell (2015),7.03
Brice Garnett (2015),7.01
Patrick Rodgers (2015),6.99
J.B. Holmes (2015),6.97
Scott Brown (2015),6.95
Seung-Yul Noh (2015),6.93
Ken Duke (2015),6.92
Aaron Baddeley (2015),6.91
Jason Kokrak (2015),6.83
Greg Owen (2015),6.82
Roberto Castro (2015),6.78
Sam Saunders (2015),6.78
Kevin Kisner (2015),6.77
Padraig Harrington (2015),6.76
Jon Curran (2015),6.75
Jonathan Randolph (2015),6.73
Chesson Hadley (2015),6.73
David Hearn (2015),6.71
Ryan Moore (2015),6.69
Chad Collins (2015),6.69
D.A. Points (2015),6.67
Heath Slocum (2015),6.67
Jim Herman (2015),6.63
Webb Simpson (2015),6.59
Nick Taylor (2015),6.59
Billy Hurley III (2015),6.57
Derek Ernst (2015),6.54
Roger Sloan (2015),6.49
Chez Reavie (2015),6.45
Kyle Reifers (2015),6.43
Robert Streb (2015),6.43
Morgan Hoffmann (2015),6.4
Spencer Levin (2015),6.4
K.J. Choi (2015),6.38
George McNeill (2015),6.36
Mark Hubbard (2015),6.35
Hunter Mahan (2015),6.33
Alex Cejka (2015),6.24
Brendan Steele (2015),6.24
Eric Axley (2015),6.17
Daniel Berger (2015),6.15
Gonzalo Fernandez-Castaño (2015),6.13
Justin Leonard (2015),6.12
Jim Furyk (2015),6.09
Justin Thomas (2015),6.09
John Peterson (2015),6.05
Justin Rose (2015),5.99
Bill Haas (2015),5.99
Chris Kirk (2015),5.97
Brendon de Jonge (2015),5.92
John Senden (2015),5.77
Vijay Singh (2015),5.75
Blayne Barber (2015),5.73
Steven Alker (2015),5.6
William McGirt (2015),5.5
Charl Schwartzel (2015),5.49
Shawn Stefani (2015),5.48
Max Homa (2015),5.46
Retief Goosen (2015),5.45
Jeff Overton (2015),5.42
Michael Putnam (2015),5.37
Matt Every (2015),5.36
Graham DeLaet (2015),5.35
Ryan Palmer (2015),5.35
J.J. Henry (2015),5.28
Robert Allenby (2015),5.14
Tyrone Van Aswegen (2015),5.08
Marc Leishman (2015),4.95
Scott Langley (2015),4.88
Lucas Glover (2015),4.82
Byron Smith (2015),4.82
Oscar Fraustro (2015),4.8
Francesco Molinari (2015),4.55
Scott Stallings (2015),4.42
Sung Joon Park (2015),4.17
Charlie Beljan (2015),4.08
Alex Prugh (2015),3.93
Bubba Watson (2015),3.9
Robert Garrigus (2015),3.85
Davis Love III (2015),3.57
Jim Renner (2015),2.62
Jordan Spieth (2016),12.19
Dicky Pride (2016),12.16
Jason Day (2016),11.91
Luke Guthrie (2016),10.34
Daniel Summerhays (2016),10.26
D.A. Points (2016),10.19
Zach Johnson (2016),9.88
Brooks Koepka (2016),9.85
Ernie Els (2016),9.6
Kevin Na (2016),9.47
Ben Martin (2016),9.45
Charles Howell III (2016),9.38
Ryan Moore (2016),9.29
Johnson Wagner (2016),9.24
Jason Dufner (2016),9.19
Andrew Loupe (2016),9.16
Camilo Villegas (2016),9.07
Shane Lowry (2016),8.85
Michael Kim (2016),8.81
Rod Pampling (2016),8.76
