Player,Putt >20 % Made
Hudson Swafford (2018),6.01
Jon Rahm (2018),5.97
Ian Poulter (2018),5.96
Stephan Jaeger (2018),5.96
Bronson Burgoon (2018),5.95
Keegan Bradley (2018),5.92
Byeong Hun An (2018),5.9
Keith Mitchell (2018),5.88
Ryan Palmer (2018),5.83
Matt Every (2018),5.81
Brice Garnett (2018),5.79
Bud Cauley (2018),5.78
Nate Lashley (2018),5.75
Fabián Gómez (2018),5.73
Aaron Baddeley (2018),5.67
Brendan Steele (2018),5.61
Tyrrell Hatton (2018),5.59
Charles Howell III (2018),5.5
Kevin Streelman (2018),5.43
Sung Kang (2018),5.41
J.J. Spaun (2018),5.37
Ryan Moore (2018),5.29
Patrick Cantlay (2018),5.2
C.T. Pan (2018),5.04
Robert Garrigus (2018),4.97
J.J. Henry (2018),4.95
Bubba Watson (2018),4.9
Tyrone Van Aswegen (2018),4.75
Cameron Percy (2018),4.64
Marc Leishman (2018),4.51
Satoshi Kodaira (2018),4.5
Scott Piercy (2018),4.29
Paul Casey (2018),4.21
Retief Goosen (2018),4.11
Kyle Thompson (2018),3.98
Louis Oosthuizen (2018),3.31
Jonathan Byrd (2018),2.88
