Player,Avg Approach >100
Robert Garrigus (2015),30.5
Chad Collins (2015),30.5
Johnson Wagner (2015),30.5
Webb Simpson (2015),30.58
Ryan Palmer (2015),30.58
Seung-Yul Noh (2015),30.67
Brian Stuard (2015),30.67
Will Wilcox (2015),30.67
James Hahn (2015),30.67
Hideki Matsuyama (2015),30.67
Jason Dufner (2015),30.83
Chris Kirk (2015),30.92
David Hearn (2015),31
Robert Allenby (2015),31
Steven Alker (2015),31.08
Jim Renner (2015),31.08
Kevin Chappell (2015),31.08
Ben Martin (2015),31.08
Dustin Johnson (2015),31.17
Colt Knost (2015),31.17
Jimmy Walker (2015),31.17
Rory Sabbatini (2015),31.25
Nicholas Thompson (2015),31.25
Boo Weekley (2015),31.25
Graham DeLaet (2015),31.33
Nick Watney (2015),31.33
Danny Lee (2015),31.33
Bill Lunde (2015),31.33
Alex Cejka (2015),31.33
Harris English (2015),31.33
Daniel Berger (2015),31.33
Jordan Spieth (2015),31.42
Vijay Singh (2015),31.42
Davis Love III (2015),31.42
Zach Johnson (2015),31.42
William McGirt (2015),31.42
Michael Putnam (2015),31.5
Scott Piercy (2015),31.5
Francesco Molinari (2015),31.5
Justin Rose (2015),31.5
Justin Thomas (2015),31.5
D.A. Points (2015),31.58
Spencer Levin (2015),31.67
Fabián Gómez (2015),31.67
Keegan Bradley (2015),31.67
Luke Guthrie (2015),31.75
John Peterson (2015),31.75
Billy Hurley III (2015),31.75
Kevin Kisner (2015),31.75
Jeff Overton (2015),31.75
Chad Campbell (2015),31.75
Cameron Percy (2015),31.83
Heath Slocum (2015),31.83
J.J. Henry (2015),31.83
Ian Poulter (2015),31.83
Bryce Molder (2015),31.92
Pat Perez (2015),31.92
Scott Brown (2015),31.92
Charlie Beljan (2015),31.92
Alex Prugh (2015),32
David Lingmerth (2015),32
Rickie Fowler (2015),32.08
Jason Kokrak (2015),32.17
Brice Garnett (2015),32.17
Sam Saunders (2015),32.17
Bubba Watson (2015),32.17
David Toms (2015),32.17
Mark Wilson (2015),32.25
Andrew Svoboda (2015),32.25
John Merrick (2015),32.25
Blayne Barber (2015),32.25
Marc Leishman (2015),32.33
Daniel Summerhays (2015),32.33
George McNeill (2015),32.33
Erik Compton (2015),32.42
Luke Donald (2015),32.42
Steven Bowditch (2015),32.42
Tim Wilkinson (2015),32.42
Louis Oosthuizen (2015),32.42
Troy Merritt (2015),32.42
Jon Curran (2015),32.42
Roger Sloan (2015),32.5
Jonathan Randolph (2015),32.5
Ryan Moore (2015),32.5
Brendan Steele (2015),32.5
Justin Leonard (2015),32.5
Ken Duke (2015),32.5
Shawn Stefani (2015),32.58
Robert Streb (2015),32.67
Chesson Hadley (2015),32.67
Patrick Rodgers (2015),32.67
Scott Langley (2015),32.67
Charles Howell III (2015),32.67
Henrik Stenson (2015),32.67
Jonathan Byrd (2015),32.67
Kevin Na (2015),32.75
Camilo Villegas (2015),32.75
Mark Hubbard (2015),32.75
Adam Hadwin (2015),32.75
Brian Harman (2015),32.83
Brendon Todd (2015),32.83
Tony Finau (2015),32.92
Chris Stroud (2015),32.92
Brendon de Jonge (2015),32.92
Sung Joon Park (2015),32.92
Patrick Reed (2015),32.92
Kevin Streelman (2015),33
Billy Horschel (2015),33.08
Nick Taylor (2015),33.08
Scott Pinckney (2015),33.08
Gonzalo Fernandez-Castaño (2015),33.17
Padraig Harrington (2015),33.17
Matt Every (2015),33.17
Martin Laird (2015),33.25
Oscar Fraustro (2015),33.25
Ángel Cabrera (2015),33.25
Jerry Kelly (2015),33.33
Andres Gonzales (2015),33.33
Derek Fathauer (2015),33.33
Jason Day (2015),33.33
Sangmoon Bae (2015),33.33
Brandt Snedeker (2015),33.33
Carlos Ortiz (2015),33.33
Michael Thompson (2015),33.42
Scott Stallings (2015),33.42
Ernie Els (2015),33.42
Lee Westwood (2015),33.42
Eric Axley (2015),33.5
K.J. Choi (2015),33.5
Derek Ernst (2015),33.5
Zac Blair (2015),33.58
Carl Pettersson (2015),33.58
Ricky Barnes (2015),33.58
Gary Woodland (2015),33.58
Jonas Blixt (2015),33.67
Andres Romero (2015),33.67
Aaron Baddeley (2015),33.67
Brian Davis (2015),33.75
Bill Haas (2015),33.75
Adam Scott (2015),34
Retief Goosen (2015),34
Phil Mickelson (2015),34
J.B. Holmes (2015),34
Charley Hoffman (2015),34.17
Andrew Putnam (2015),34.17
Jhonattan Vegas (2015),34.25
Max Homa (2015),34.33
Russell Henley (2015),34.42
