Player,Avg Approach >100
Stephan Jaeger (2018),34.25
Cody Gribble (2018),34.25
Roberto Díaz (2018),34.33
Matt Atkins (2018),34.33
Ryan Blaum (2018),34.33
Jason Dufner (2018),34.33
Peter Uihlein (2018),34.33
Brendan Steele (2018),34.42
Rod Pampling (2018),34.42
Ben Martin (2018),34.58
Adam Schenk (2018),34.58
Trey Mullinax (2018),34.58
Bud Cauley (2018),34.67
Adam Hadwin (2018),34.75
Jamie Lovemark (2018),34.75
Tyrrell Hatton (2018),34.75
Bill Haas (2018),34.92
Kevin Kisner (2018),35
Jonathan Randolph (2018),35.25
Beau Hossler (2018),35.33
Derek Fathauer (2018),35.5
Lucas Glover (2018),35.5
Jonas Blixt (2018),35.83
Charl Schwartzel (2018),36.33
Martin Piller (2018),36.58
Alex Noren (2018),36.75
Daniel Summerhays (2018),36.83
Greg Chalmers (2018),40.58
