Golfer,Year,Player,AvgApproachGT100,AvgApproachLT100,AvgBallSpeed,AvgClubheadSpeed,LaunchAngle,ProxToHoleARG,Putt10_15Made,Putt15_20Made,PuttGT20Made,PuttLT10Made,SandSave,SpinRateOTT,Winner,StrokeAverage
Andrew Landry,2019,Andrew Landry (2019),31.83,18.42,163.74,108.84,10.4,7.17,28.23,13.64,6.49,88.54,50,2641.8,0,71.265
Andrew Loupe,2016,Andrew Loupe (2016),33.25,19.75,184.57,125.5,8.5,8.25,34.59,19.57,9.16,86.35,45.3,2809,0,71.423
Andrew Loupe,2017,Andrew Loupe (2017),32.5,19.75,182.77,124.63,10.68,8.42,30.58,19.79,4.35,86.52,39.8,2771.7,0,72.803
Andrew Putnam,2015,Andrew Putnam (2015),34.17,15.58,164.02,111.35,10.06,7,34.55,24.73,8.52,88.59,51.82,3038.4,0,72.278
Andrew Putnam,2018,Andrew Putnam (2018),33.67,14.17,167.31,113.36,9.57,7.83,37.31,13.55,6.9,87.84,48.8,2790.5,1,70.579
Andrew Putnam,2019,Andrew Putnam (2019),33.25,15.67,166.56,115.14,8.2,7.75,35.44,21,11.15,87.82,61.02,2893.8,0,70.644
Andrew Svoboda,2015,Andrew Svoboda (2015),32.25,19.17,166.29,112.86,10.09,8.5,30.57,20.74,7.78,86.34,37.17,2684.5,0,72.119
Andrew Yun,2018,Andrew Yun (2018),33.42,18.42,165.25,110.52,9.54,8.25,27.27,17.46,7.58,84.36,34.33,2727.1,0,73.624
Anirban Lahiri,2016,Anirban Lahiri (2016),33.83,18.17,167.4,112.26,11.95,8.42,28.68,15.74,4.92,87.96,43.55,2316.5,0,71.139
Anirban Lahiri,2017,Anirban Lahiri (2017),31.83,23.17,169.7,113.25,12.34,7.42,29.7,13.08,7.43,85.79,52.31,2509.3,0,70.799
Anirban Lahiri,2018,Anirban Lahiri (2018),32.33,18.33,167.32,111.86,12.41,7.92,36,22.86,6.89,87.28,51.46,2515.2,0,70.66
Anirban Lahiri,2019,Anirban Lahiri (2019),34.08,20.33,167.64,111.21,10.11,7.42,27.16,26.09,6.88,87.83,54.63,2431.1,0,71.698
Austin Cook,2018,Austin Cook (2018),33.5,18.92,166.22,110.96,12.61,7.5,32.68,17.59,6.95,89.54,53.45,2518.2,1,70.469
Austin Cook,2019,Austin Cook (2019),32.5,17.67,165.12,110.21,11.74,7.92,28.39,24.56,7.72,86.69,48.89,2382.2,0,71.201
Beau Hossler,2018,Beau Hossler (2018),35.33,18.33,167.31,111.47,13.3,8.42,34.52,14.04,10.28,89.29,54.19,2247.7,0,70.574
Beau Hossler,2019,Beau Hossler (2019),36.08,16.75,170.27,113.8,11.22,7.83,29.03,18.25,11.35,90.22,52.35,2296.9,0,71.381
Ben Crane,2015,Ben Crane (2015),34.67,17.83,156.6,104.59,11.42,6.92,37.89,17.65,7.17,88.17,52.63,2470.9,0,71.975
Ben Crane,2016,Ben Crane (2016),34.58,18.83,159.21,105.86,11.01,7.5,29.51,15.79,6.04,88.83,56.59,2410.8,0,70.908
Ben Crane,2017,Ben Crane (2017),33.83,19.33,160.35,107.37,10.88,7.42,36.36,21.17,5.59,86.3,54.48,2620,0,71.091
Ben Crane,2018,Ben Crane (2018),33.67,16.42,160.75,107.78,11.26,7.67,31.93,18.18,6.04,88.09,66,2514.5,0,71.097
Ben Martin,2015,Ben Martin (2015),31.08,20,168.18,114.46,8.53,7.58,28.88,19.64,8.74,88.01,49.59,2982.9,0,70.95
Ben Martin,2016,Ben Martin (2016),32.25,18.25,168.27,113.57,8.35,8.42,25,21.08,9.45,88.29,41.67,2860,0,71.282
Ben Martin,2017,Ben Martin (2017),31,19.33,168.14,113.16,9.47,8.17,29.91,19.57,6.31,87.34,52.9,2624.7,0,70.954
Ben Martin,2018,Ben Martin (2018),34.58,13.67,165.61,112.2,9.67,7.83,30.61,16.39,9.4,86.82,57.69,2828.8,0,70.974
Ben Silverman,2018,Ben Silverman (2018),31.92,16.83,166.43,110.66,10.95,8.33,36.19,24.68,8.28,86.42,44.67,2784.8,0,71.281
Ben Silverman,2019,Ben Silverman (2019),34.25,16.33,166.23,110.63,10.01,7.5,33.13,19.09,7.49,86.24,61.17,2499.5,0,71.401
Bill Haas,2015,Bill Haas (2015),33.75,16.42,165.52,112.2,11.26,7.17,26.18,18.24,5.99,88.54,52.5,2620.2,0,70.672
Bill Haas,2016,Bill Haas (2016),34,18.42,168.55,114.43,10.69,7.08,25.16,21.62,4.8,87.05,50.35,2803.1,0,70.444
Bill Haas,2017,Bill Haas (2017),33.58,16.92,168.53,114.33,10.78,6.75,27.53,17.93,5.61,88.08,53.57,2789.4,0,70.011
Bill Haas,2018,Bill Haas (2018),34.92,17,169.91,115.39,10.78,7.92,29.24,15.24,7.96,87.23,57.26,2699,0,71.028
Bill Haas,2019,Bill Haas (2019),35.75,17.67,170.28,115.1,9.8,7.33,31.85,15.24,5.34,88.75,52.34,2932.3,0,71.056
Bill Lunde,2015,Bill Lunde (2015),31.33,15.83,164.46,109.68,10.81,8.33,25.89,17.86,7.31,86.63,56.9,2536.6,0,71.796
Billy Horschel,2015,Billy Horschel (2015),33.08,18.42,168.53,113.38,10.78,8.08,27.88,20.44,9.41,88.45,47.06,2440.7,0,71.05
Billy Horschel,2016,Billy Horschel (2016),33.17,14.92,169.45,113.38,11.34,7.58,30.52,15.31,7.99,87.48,49.55,2582.8,1,70.548
Billy Horschel,2017,Billy Horschel (2017),33.25,19.17,170.7,116.12,11.63,8.67,30.81,20.25,7.89,87.6,44.88,2298.3,1,70.832
Billy Horschel,2018,Billy Horschel (2018),33.17,16.33,170.04,114.48,11.29,8.33,34.33,23.84,6.04,88.9,51.72,2617.6,1,70.154
Billy Horschel,2019,Billy Horschel (2019),34.33,17,169.24,113.61,10.9,7.25,30.81,22.43,8.92,88.85,47.86,2574.7,0,70.644
Billy Hurley III,2015,Billy Hurley III (2015),31.75,16.75,158.73,108.47,10.58,6.92,29.07,24.43,6.57,88.61,47.93,2971.1,1,71.043
Billy Hurley III,2016,Billy Hurley III (2016),31.33,18.83,160.35,108.82,10.98,6.75,30.38,18.35,5.59,89.66,46.88,2651.3,0,70.846
Billy Hurley III,2017,Billy Hurley III (2017),32.58,16.67,160.99,108.71,12.03,7.33,27.17,24.34,8.1,88.06,43.48,2656.3,0,71.176
Billy Hurley III,2018,Billy Hurley III (2018),32.5,16.08,161.67,109.3,11.06,7.42,29.55,20.54,8.81,86.57,48.96,2725.4,0,71.715
Blayne Barber,2015,Blayne Barber (2015),32.25,17.75,167.04,112,11.4,7.5,34.38,22.73,5.73,87.67,47.06,2636.9,0,71.127
Blayne Barber,2016,Blayne Barber (2016),32,16.08,165.59,109.64,11.19,7.75,28.7,20.42,6.71,87.16,51.46,2514.1,0,71.032
Blayne Barber,2017,Blayne Barber (2017),31.08,16.33,167.21,111.27,11.75,7.08,29.55,22.56,9.41,88.34,50.43,2372.4,0,71.163
Blayne Barber,2018,Blayne Barber (2018),30.83,15.33,166.91,111.16,12.25,7.42,27.11,17.95,7.77,87.96,52.73,2639.8,0,70.835
Bo Van Pelt,2015,Bo Van Pelt (2015),30.33,16.33,167.39,112.21,11.32,7.33,27.91,20.14,7.83,88.87,42.34,2482.1,0,71.497
Boo Weekley,2015,Boo Weekley (2015),31.25,17,168.49,113.44,9.31,6.92,29.23,18.42,7.5,86.82,46.61,2547.6,0,70.775
Boo Weekley,2016,Boo Weekley (2016),32.33,17.5,166.54,112.17,8.21,7.25,32.49,17.27,8.03,85.49,42.52,2511,0,71
Boo Weekley,2017,Boo Weekley (2017),31.25,18.17,167.76,113.02,8.47,7.83,26.14,14.73,7.57,83.9,44.64,2748.4,0,71.476
Brad Fritsch,2017,Brad Fritsch (2017),30.25,17.17,169.52,116.03,9.52,7.42,27.78,15.48,5.53,85.59,48.19,2869.2,0,71.855
Brady Schnell,2019,Brady Schnell (2019),32.83,17.42,161.75,107.61,11.63,7.33,30.43,20.25,7.2,87.52,52.24,2269.4,0,71.944
Branden Grace,2016,Branden Grace (2016),31.83,20.83,173.24,115.59,6.6,6.67,31.43,16,6.35,87.2,49.45,2608.9,0,70.204
