Golfer,Year,Player,AvgApproachGT100,AvgApproachLT100,AvgBallSpeed,AvgClubheadSpeed,LaunchAngle,ProxToHoleARG,Putt10_15Made,Putt15_20Made,PuttGT20Made,PuttLT10Made,SandSave,SpinRateOTT,Winner,StrokeAverage
Cameron Tringale,2018,Cameron Tringale (2018),32.58,16.25,164.84,111.28,12.72,7.92,31.62,15.84,6.93,86.35,52.81,2570.7,0,72.146
Cameron Tringale,2019,Cameron Tringale (2019),33.5,14.67,175.07,119.94,9.36,7.25,32.26,12.75,10.06,88.05,54.65,2900.1,0,70.796
Camilo Villegas,2015,Camilo Villegas (2015),32.75,17.5,169.43,113.03,9.45,6.83,34.54,23.19,10.67,86.43,45.03,2446.3,0,71.067
Camilo Villegas,2016,Camilo Villegas (2016),32.42,16.83,165.57,110.06,10.56,7.5,30.95,16.51,9.07,87.62,45.32,2398.6,0,71.44
Camilo Villegas,2017,Camilo Villegas (2017),31.42,16.92,165.16,110.09,10.26,7.33,36.53,22.33,9.01,86.77,46.96,2235.7,0,70.881
Carl Pettersson,2015,Carl Pettersson (2015),33.58,17.17,167.56,111.76,11.76,7.08,32.99,21.24,7.45,88.55,50.3,2276.3,0,70.866
Carl Pettersson,2017,Carl Pettersson (2017),33.42,17.33,162.45,108.24,10.66,7.67,32.1,24.1,6.73,87.82,48,2406.6,0,72.419
Carlos Ortiz,2015,Carlos Ortiz (2015),33.33,19.75,171.93,115.32,11.42,8.25,29.78,17.5,7.72,87.62,55.19,2540.3,0,71.098
Carlos Ortiz,2016,Carlos Ortiz (2016),33.08,18.58,173.54,115.89,11.04,8.58,25.56,23.68,5.25,85.76,38.53,2540.3,0,71.906
Carlos Ortiz,2019,Carlos Ortiz (2019),33.5,21.17,175.62,117.21,9.29,7.33,31.28,20.9,5.99,88.84,50,2771.4,0,71.069
Chad Campbell,2015,Chad Campbell (2015),31.75,14.92,164.59,110.19,11.22,7.25,28.1,18.27,7.03,87.7,53.91,2427.3,0,70.604
Chad Campbell,2016,Chad Campbell (2016),32.33,16.33,166.32,111.38,10.48,6.92,24.88,19.5,6.79,86.86,55.32,2472.6,0,70.566
Chad Campbell,2017,Chad Campbell (2017),30.5,18.83,166.04,111.71,11.31,6.83,25.82,15.34,7.81,86.96,52.99,2750.8,0,70.509
Chad Campbell,2018,Chad Campbell (2018),31.5,14.92,163.67,109.5,11.75,7.67,25.41,18.8,7.59,85.79,50,2606.5,0,71.683
Chad Collins,2015,Chad Collins (2015),30.5,16,162.03,109.6,10.24,6.5,28.39,17.21,6.69,87.99,62.81,2721.2,0,70.681
Chad Collins,2016,Chad Collins (2016),33.58,13.58,163.19,109.93,9.73,6.92,28.87,21.01,5.25,87.94,52.42,2765.6,0,71.532
Chad Collins,2017,Chad Collins (2017),33.83,18.25,164.1,110.04,10.58,6.58,32.48,18.09,4.2,88.28,53.21,2729.7,0,71.77
Charl Schwartzel,2015,Charl Schwartzel (2015),34.67,17.83,174.56,117.41,9.25,7.33,24.07,19.23,5.49,86.87,50.98,2497.2,1,71.093
Charl Schwartzel,2016,Charl Schwartzel (2016),33.17,14.75,175.63,118.45,8.87,7.08,37.5,24.35,6.6,85.2,51.16,2696.2,0,70.004
Charl Schwartzel,2017,Charl Schwartzel (2017),34.75,16.08,177.23,119.35,10.15,6.92,36.3,20.93,4.4,87.77,57.61,2700.4,0,70.211
Charl Schwartzel,2018,Charl Schwartzel (2018),36.33,17.42,175.55,118.79,9.91,7.58,32.14,22.78,6.58,86.83,49.26,2849.8,0,71.349
Charles Howell III,2015,Charles Howell III (2015),32.67,17.58,177.66,119.26,8.28,7.83,28.07,15,7.61,87.07,42.42,2652.9,0,70.872
Charles Howell III,2016,Charles Howell III (2016),33.42,17.17,177.93,118.53,7.93,6.92,26.87,16.28,9.38,88.72,50.41,2690.2,0,70.418
Charles Howell III,2017,Charles Howell III (2017),33.58,17,173.9,116.05,8.95,7.5,29.71,15.5,6.31,88.9,51.35,2453.1,0,70.371
Charles Howell III,2018,Charles Howell III (2018),34.08,16.5,174.85,118.01,8.93,7.5,36.27,18.57,5.5,87.54,55.76,2748.6,0,70.219
Charles Howell III,2019,Charles Howell III (2019),34.67,14.92,176.1,117.68,7.67,7.25,32.81,16.2,7.57,88.81,47.52,2809.1,1,70.484
Charley Hoffman,2015,Charley Hoffman (2015),34.17,15.75,173.25,116.3,11.78,7.92,34.32,13.42,7.11,87.94,50.3,2713.2,1,70.613
Charley Hoffman,2016,Charley Hoffman (2016),32.33,17.83,172.97,116.05,11.12,7.5,31.53,20.59,7.01,85.73,47.97,2686.3,0,70.658
Charley Hoffman,2017,Charley Hoffman (2017),32.83,17.75,173.67,117.23,11.21,7.75,31.6,18.28,5.42,87.15,53.09,2905.2,0,70.351
Charley Hoffman,2018,Charley Hoffman (2018),31.5,17.17,172.4,115.76,11.16,7.5,26.26,21.85,6.91,87.79,45.14,2888.6,0,70.521
Charley Hoffman,2019,Charley Hoffman (2019),30.67,17.25,174.07,115.69,10.67,7.33,27.48,20.19,8.84,85.97,39.32,3004,0,71.361
Charlie Beljan,2015,Charlie Beljan (2015),31.92,17.5,182.14,124.02,8.89,7.67,29.63,19.15,4.08,84.85,40.94,2780.3,0,72.01
Chase Wright,2019,Chase Wright (2019),32.25,18.83,172.51,114.7,10.44,7.75,37.79,15.38,7.78,88.65,46.08,2687.6,0,71.233
Chesson Hadley,2015,Chesson Hadley (2015),32.67,18.33,167.41,112.04,13.03,8.08,31.48,19.87,6.73,87.64,49.44,2226.4,0,71.798
Chesson Hadley,2016,Chesson Hadley (2016),30.67,20.58,168.86,112.18,12.46,7.5,26.83,22.22,6.03,86.6,47.14,2207.4,0,71.541
Chesson Hadley,2018,Chesson Hadley (2018),30.75,20.67,171.81,114.26,11.6,8.08,30.25,21.26,6.38,88.28,46.1,2414.2,0,70.311
Chesson Hadley,2019,Chesson Hadley (2019),31,15.58,172.83,114.84,10.46,7.5,30.65,20.45,8.33,88.72,51.69,2472.3,0,71.453
Chez Reavie,2015,Chez Reavie (2015),30.08,19.17,162.36,109.32,12.1,6.92,30.77,14.02,6.45,87.57,37.5,2472.1,0,71.146
Chez Reavie,2016,Chez Reavie (2016),31.33,15.67,162.02,108.67,11.26,7.33,26.84,18.06,7.6,87.08,53.24,2380.8,0,70.661
Chez Reavie,2017,Chez Reavie (2017),30.75,20,160.23,108.88,12.56,8.17,28.27,26.32,7.42,88.8,52.29,2419.4,0,70.244
Chez Reavie,2018,Chez Reavie (2018),31.08,19.33,160.99,108.83,12.54,7.92,33.55,21.55,8.03,87.45,43.06,2500,0,70.432
Chez Reavie,2019,Chez Reavie (2019),30,16.83,162.44,108.81,11.3,7.42,30.58,13.99,9.38,87.81,48.92,2437.5,1,70.248
Chris Kirk,2015,Chris Kirk (2015),30.92,17.58,164.57,110.67,11.48,6.75,35.9,19.79,5.97,87.7,60.47,2359.9,0,70.959
Chris Kirk,2016,Chris Kirk (2016),31.75,16.83,165.03,109.99,10.61,6.92,25.49,21.97,5.87,88.68,57.42,2553.1,0,70.92
Chris Kirk,2017,Chris Kirk (2017),31.42,18.5,164.88,110.27,10.58,7.58,32.66,21.23,6.33,86.57,51.26,2529.6,0,71.255
Chris Kirk,2018,Chris Kirk (2018),30.92,16.58,165.84,112.01,10.77,6.83,27.59,17.11,7.99,88.4,54.01,2570.5,0,70.411
Chris Stroud,2015,Chris Stroud (2015),32.92,15.92,162.93,109.22,11.14,6.83,31.02,12.4,8.31,86.8,54.84,2597.2,0,71.194
Chris Stroud,2016,Chris Stroud (2016),32.5,17.42,165.29,112.12,11.04,7.83,30.43,26.45,7.67,86.8,40.94,2538.4,1,71.101
Chris Stroud,2017,Chris Stroud (2017),33.17,15.33,164.52,111.75,10.98,7.33,25.95,19.15,5.64,87.44,45.54,2631.7,1,70.815
Chris Stroud,2018,Chris Stroud (2018),33.92,15.25,166.06,111.96,10.47,7.83,35.33,11.76,7.19,87.72,53.42,2773.5,0,71.628
Chris Stroud,2019,Chris Stroud (2019),34.67,18.17,167.3,111.58,10.44,7.33,26.09,23.85,9.87,87.75,52.63,2613.9,0,71.644
Cody Gribble,2017,Cody Gribble (2017),34.17,23.08,170.37,116.39,13.65,8.17,36.81,21.77,9.79,87.35,49.61,2249.1,1,71.581
Cody Gribble,2018,Cody Gribble (2018),34.25,21.42,168.33,112.31,13.67,8.42,25.52,19.44,8.78,88.22,48.72,2127.3,0,72.112
Cody Gribble,2019,Cody Gribble (2019),32.75,18.92,172.47,115.07,11.19,8,27.89,17.6,7.67,86.86,41.3,2250.2,0,72.096
Colt Knost,2015,Colt Knost (2015),31.17,15.67,157.7,107.19,11.05,7.08,31.03,21.94,7.92,88.38,55.34,2756.9,0,70.698
Colt Knost,2016,Colt Knost (2016),33.42,15.33,154.48,105.34,10.85,7.33,24.88,17.14,8.73,90.16,51.06,2721.6,0,70.785
Conrad Shindler,2018,Conrad Shindler (2018),29.67,15,169.92,119.23,8.52,7.08,28.3,24.21,7.92,86.76,48.15,3359.4,0,71.465
Corey Conners,2018,Corey Conners (2018),31.42,14.42,172.13,114.66,9.78,7.92,31.58,15.19,6.65,85.83,44.27,2948.3,0,70.743
Corey Conners,2019,Corey Conners (2019),29.58,15.92,172.57,114.48,10.46,7.92,28.72,11.56,8.53,86.05,51.82,2751.1,1,70.777
Curtis Luck,2019,Curtis Luck (2019),36.25,15.67,170.6,113.66,8.87,8.08,38.89,27.16,10.2,86.18,48.04,2575.5,0,72.001
D.A. Points,2015,D.A. Points (2015),31.58,14.5,165.12,111,10.66,7,26.75,18.33,6.67,87.84,53.49,2749.9,0,71.701
D.A. Points,2016,D.A. Points (2016),31.58,16.83,163.47,108.7,11.42,7.33,26.61,15.29,10.19,84.82,43.04,2341.7,0,71.655
D.A. Points,2017,D.A. Points (2017),32.67,16.08,161.14,108.26,11.51,7.42,28.07,16.67,9.31,85.6,47.47,2227.3,0,71.315
D.A. Points,2018,D.A. Points (2018),33.33,23.33,160.2,107.93,12.09,7.25,33.59,20.59,6.5,87.51,57.66,2578,0,73.019
D.H. Lee,2016,D.H. Lee (2016),32.58,18.67,159.33,107.94,12.29,7.58,33.86,17.65,5.28,87.68,42.42,2637.4,0,73.415
Daniel Berger,2015,Daniel Berger (2015),31.33,15.42,176.39,119.57,11.15,7.5,28.69,13.33,6.15,88.76,53.38,2353.3,1,70.581
Daniel Berger,2016,Daniel Berger (2016),30.17,19.92,172.03,116.35,10.53,7.58,24.15,22.7,7.07,88.16,45.86,2417.3,1,70.339
Daniel Berger,2017,Daniel Berger (2017),30.75,13.5,175.01,118.78,9.78,7.83,30.33,20,7.97,87.36,43.18,2585.3,1,70.121
Daniel Berger,2018,Daniel Berger (2018),33,16.42,170.18,115.21,11.04,8.17,32.11,17.29,6.15,89.1,47.33,2590.2,0,70.32
Daniel Berger,2019,Daniel Berger (2019),33.42,19.75,173.87,116.4,8.77,7.83,24.52,17.74,6.78,88.48,56.2,2576.2,0,70.443
Daniel Summerhays,2015,Daniel Summerhays (2015),32.33,19.5,163.86,110.42,9.62,7.58,34.91,16,9.36,89.27,46.58,2660.3,0,70.397
Daniel Summerhays,2016,Daniel Summerhays (2016),35.42,17.67,164.96,111.66,9.21,8.58,28.72,23.2,10.26,88.86,44.51,2494.6,0,70.771
Daniel Summerhays,2017,Daniel Summerhays (2017),33.75,21.83,164.54,111.1,10.69,8.08,27.78,18.64,6.5,88.22,49.14,2704.2,0,71.197
Daniel Summerhays,2018,Daniel Summerhays (2018),36.83,17.42,162.06,109.15,10.79,8.25,33.64,28.38,7.22,87.83,52.44,2547.8,0,73.177
Danny Lee,2015,Danny Lee (2015),31.33,15.08,162.83,109.56,12.99,7,38.33,13.44,8.75,87.8,61.54,2525,0,70.398
Danny Lee,2016,Danny Lee (2016),33.33,16.5,165.48,110.16,12.5,7.42,23.83,19.18,7.33,87.18,56.8,2510.4,0,71.118
Danny Lee,2017,Danny Lee (2017),32.42,17,167.63,112.81,13.78,7.67,33.63,20.78,7.19,87.92,53.68,2655.6,0,70.86
Danny Lee,2018,Danny Lee (2018),32.17,15,165.68,110.92,13.28,6.92,32.88,22.83,6.76,88.11,55.62,2685.9,0,71.196
Danny Lee,2019,Danny Lee (2019),32.92,16.42,171.29,116.01,12.57,7.67,28.83,20.69,8.77,86.92,53.19,2393,0,70.997
Danny Willett,2019,Danny Willett (2019),33.33,14.5,169.94,113.01,11.3,7.25,32.8,17.05,4.85,87.67,53.64,2293.3,0,70.828
David Hearn,2015,David Hearn (2015),31,17,159.94,107.95,13.58,7.25,34.83,22.16,6.71,87.89,38.97,2332.2,0,70.843
David Hearn,2016,David Hearn (2016),30.42,17.83,160.74,107.8,13.17,7.17,31.93,20.34,7.28,88.07,53.73,2671.2,0,70.87
David Hearn,2017,David Hearn (2017),30.92,18,159.93,109.85,14.05,7,27.5,14.18,6.97,88.03,55.35,2752.3,0,71.107
David Hearn,2018,David Hearn (2018),29.25,15.42,159.56,107.54,13.47,7.5,27.78,17.36,8.58,87.15,47.62,2906.2,0,71.325
David Hearn,2019,David Hearn (2019),33,16.67,158.16,105.18,12.76,8,27.37,15.38,7.55,86.97,50.68,2466.3,0,71.697
David Lingmerth,2015,David Lingmerth (2015),32,16.42,164.99,110.38,11.05,7,29.28,14.52,7.37,87.28,53.24,2599.7,0,70.8
David Lingmerth,2016,David Lingmerth (2016),33.25,17.42,163.25,109.41,10.65,7.5,28.92,18.46,7.62,88.4,45.97,2578.9,0,71.05
David Lingmerth,2017,David Lingmerth (2017),34.08,18,166.87,111.77,10.94,7.25,32.24,20.14,8.64,89.04,56.06,2674.4,0,70.755
David Lingmerth,2018,David Lingmerth (2018),32.67,17.17,163.9,109.47,10.67,7.83,30.57,22.4,7.71,87.63,48.41,2928.3,0,71.043
David Toms,2015,David Toms (2015),32.17,15.5,152.78,101.87,13.52,6.92,23.29,20.47,9.79,87.18,63.04,2414.9,0,71.092
David Toms,2016,David Toms (2016),32.67,15.75,152.55,100.91,13.42,7,23.64,21.36,5.19,89.07,57.47,2355.9,0,70.872
Davis Love III,2015,Davis Love III (2015),31.42,25.92,167.03,112.89,11.82,7.33,28.13,14.29,3.57,88.83,37.35,2560.5,0,71.289
Dawie van der Walt,2016,Dawie van der Walt (2016),32.42,18.08,170.11,117.23,8.91,8.75,24.59,15.57,6.5,88.02,38.2,2581,0,71.376
Denny McCarthy,2018,Denny McCarthy (2018),34.25,18.08,169.32,113.28,12.08,7.67,33.33,20.75,6.73,89.4,46.15,2641.6,0,70.861
Denny McCarthy,2019,Denny McCarthy (2019),35.08,16.75,169.72,112.66,10.92,7.92,29.63,29.93,10.02,90.31,48.76,2627.5,0,70.546
Derek Ernst,2015,Derek Ernst (2015),33.5,19.83,174.9,119.67,9.52,7.08,23.7,14.05,6.54,87.08,40.57,2599.2,0,71.453
Derek Ernst,2016,Derek Ernst (2016),31.25,19.42,174.89,120.85,8.49,7.5,27.42,12.77,5.19,86.22,48.42,2921.2,0,72.075
Derek Fathauer,2015,Derek Fathauer (2015),33.33,15.33,166.49,111.96,10.72,7.33,25.41,17.16,7.54,89.21,50.78,2289.8,0,71.431
Derek Fathauer,2016,Derek Fathauer (2016),33.33,15.83,167.29,110.78,11.08,7.92,32.85,16.03,8.7,88.49,46.07,2486.6,0,71.073
Derek Fathauer,2017,Derek Fathauer (2017),31.92,18.42,166.27,110.68,12.68,8.08,28.34,17.36,5.56,88.33,44.37,2536.3,0,71.568
Derek Fathauer,2018,Derek Fathauer (2018),35.5,18.67,165.6,110.46,10.22,7.67,28.74,20.18,7.73,88.92,43.62,2479.8,0,71.827
Dicky Pride,2016,Dicky Pride (2016),33.42,16.67,158.86,107.35,9.82,7.25,29.2,16.44,12.16,86.45,56.57,2583.6,0,72.102
Dominic Bozzelli,2017,Dominic Bozzelli (2017),33.17,16.25,170.79,114.66,11.16,7.42,31.82,24.04,5.84,86.54,43.24,2588.1,0,71.49
Dominic Bozzelli,2018,Dominic Bozzelli (2018),32.92,16,171.08,114.91,11.01,7.92,38.1,15.97,7.55,87.85,44.8,2724.3,0,71.179
Dominic Bozzelli,2019,Dominic Bozzelli (2019),34.92,19.25,172.06,114.72,11.03,8,33.33,22.33,7.53,90.43,55.56,2594.8,0,71.023
Dustin Johnson,2015,Dustin Johnson (2015),31.17,16.33,181.43,121.49,11.63,8.08,29.14,21.7,7.25,87.16,38.6,2340.2,1,69.585
Dustin Johnson,2016,Dustin Johnson (2016),29.33,14.92,181.49,122.42,10.01,7.17,31.96,25.86,5.79,87.25,45.24,2610,1,69.172
Dustin Johnson,2017,Dustin Johnson (2017),29.67,15.67,180.06,121.17,11.39,7.5,25.77,11.97,7.93,87.5,44.32,2485.9,1,69.549
Dustin Johnson,2018,Dustin Johnson (2018),30.08,15,181.27,121.38,11.15,7.25,33.53,16.18,11.11,87.26,52.17,2703.6,1,68.698
Dustin Johnson,2019,Dustin Johnson (2019),32.42,15.83,178.82,119.18,10.21,6.5,33.11,20.18,8.3,85.93,63.86,2717.2,1,69.896
Dylan Frittelli,2019,Dylan Frittelli (2019),33.83,17.75,171.14,114.03,9.8,7.67,30.41,15.44,6.47,87.59,49.15,2839.8,1,70.737
Emiliano Grillo,2016,Emiliano Grillo (2016),31.5,14.42,168.82,114.67,10.54,8.42,31.02,15.53,5.78,88.86,47.74,2552.4,0,70.637
Emiliano Grillo,2017,Emiliano Grillo (2017),32.33,16.83,168.83,114.39,10.19,7.5,30.84,20,7.12,86.22,53.28,2498.7,0,70.798
Emiliano Grillo,2018,Emiliano Grillo (2018),31.33,17.08,169.17,115,10.12,7.92,33.97,17.5,11.24,88.25,54.84,2715.5,0,70.152
Emiliano Grillo,2019,Emiliano Grillo (2019),31.17,16.92,170.58,115.04,9.24,8.83,20.39,17.86,6.39,85.73,47.93,2740.1,0,70.814
Eric Axley,2015,Eric Axley (2015),33.5,16.17,167.18,113.96,8.61,7.83,29.91,16,6.17,88.5,53.54,2724,0,71.977
Erik Compton,2015,Erik Compton (2015),32.42,19.75,166.56,112.23,10.42,6.83,32.26,22.05,7.32,88.79,50.77,2512.7,0,71.228
Erik Compton,2016,Erik Compton (2016),33.75,16.17,165.75,112.14,10.06,7.5,23.24,20,6.05,88.35,52.59,2483.2,0,71.884
Ernie Els,2015,Ernie Els (2015),33.42,14.83,165.66,110.54,13.27,7.08,19.3,23.53,9.13,84.69,51.76,2056.8,0,71.83
Ernie Els,2016,Ernie Els (2016),35.08,15.33,165.99,110.18,12.42,7.5,24.66,23.81,9.6,87.15,41.86,1966.9,0,71.371
Ernie Els,2017,Ernie Els (2017),35.92,20.75,161.93,109.18,13.23,7.25,37.76,23.21,7.04,88.43,50,2046.9,0,72.179
Ernie Els,2019,Ernie Els (2019),35.17,20.17,165.8,110.3,10.46,7.33,31.25,11.48,6.63,88.01,64.47,2575.5,0,71.548
Ethan Tracy,2018,Ethan Tracy (2018),34,17.75,171.76,115.99,8.68,8.33,28.26,19.27,6.86,88.13,34.86,2756.4,0,72.038
Fabián Gómez,2015,Fabián Gómez (2015),31.67,16.75,164.12,111.86,10.42,7.92,30.33,22.3,8.57,87.96,39.84,2537.7,1,71.207
Fabián Gómez,2016,Fabián Gómez (2016),34.67,19.17,166.87,112.61,9.63,7.92,28,27.08,7.47,87.03,54.55,2613.8,0,71.346
Fabián Gómez,2017,Fabián Gómez (2017),34.17,19.42,165.71,113.15,10.42,7.5,30.08,15.63,7.41,87.37,51.35,2615.4,0,71.61
Fabián Gómez,2018,Fabián Gómez (2018),32,19.17,165.03,112.05,10.58,7.5,29.32,15.09,5.73,88.41,43.2,2475.7,0,71.02
Fabián Gómez,2019,Fabián Gómez (2019),33,17.75,164.43,109.19,10.29,7.67,35.42,14.29,5.62,88.22,45.35,2462.2,0,71.484
Francesco Molinari,2015,Francesco Molinari (2015),31.5,13.33,162.1,110.49,11.7,7.67,29.73,20.19,4.55,88.18,48.61,2617,0,70.458
Francesco Molinari,2016,Francesco Molinari (2016),32,16.42,164.06,111.72,10.98,7.08,21.15,17.31,8.05,86.86,44.68,2243.3,0,70.436
Francesco Molinari,2017,Francesco Molinari (2017),32.83,16,166.66,112.22,12.2,7.5,35.4,12,6.52,86.17,53.85,2480.5,0,69.802
Francesco Molinari,2018,Francesco Molinari (2018),32,20.67,168.94,112.73,12.72,7.75,19.59,15.04,7.52,86.89,47.9,2725,1,69.797
Francesco Molinari,2019,Francesco Molinari (2019),34.08,17.42,168.06,111.8,11.39,7.33,36.44,12.16,4.89,86.24,65.33,2674.1,1,70.974
Freddie Jacobson,2016,Freddie Jacobson (2016),33,16.83,164.65,112.81,8.75,7.58,34.95,17.33,8.41,89.11,55,2963.3,0,70.809
Freddie Jacobson,2019,Freddie Jacobson (2019),34.42,16.58,167.39,114.26,7.68,7.58,32.14,17.81,8.09,87.67,42.47,2604.2,0,71.953
Gary Woodland,2015,Gary Woodland (2015),33.58,18.5,175.93,121.14,10.66,7.83,32.14,12.63,7.64,87.65,43.27,2552.9,0,70.982
Gary Woodland,2016,Gary Woodland (2016),32.25,17.83,181.5,124.78,10.63,7.67,28.3,13.99,5.77,88.43,48.85,2500.4,0,70.234
Gary Woodland,2017,Gary Woodland (2017),31.08,18.5,180.49,122.67,10.71,7.5,31.12,17.76,4.76,85.75,60.68,2548.5,0,70.482
Gary Woodland,2018,Gary Woodland (2018),30.42,17.58,180.37,122.68,10.85,8.5,31.92,16.46,7.77,87.62,41.49,2609.1,1,70.161
Gary Woodland,2019,Gary Woodland (2019),30.42,17.08,180.47,122.2,8.75,7.75,31.36,19.17,8.88,85.53,50.41,2729.4,1,70.231
Geoff Ogilvy,2015,Geoff Ogilvy (2015),37.25,17.42,169.4,114.01,11.29,8.42,25.77,8.7,9.13,84.97,41.33,2571.8,0,71.559
Geoff Ogilvy,2016,Geoff Ogilvy (2016),33.17,15.75,167.74,113.67,10.83,7.75,24.8,20,4.98,86.32,45.54,2728.5,0,71.464
Geoff Ogilvy,2017,Geoff Ogilvy (2017),34.08,19.75,165.11,111.97,11.95,7.17,32.76,15.54,6.65,88.93,57.5,2773.9,0,71.056
George McNeill,2015,George McNeill (2015),32.33,18,170.08,115.69,8.4,7.25,34.92,20.22,6.36,87.89,53.68,2870.4,0,70.478
George McNeill,2016,George McNeill (2016),32.08,16.33,168.11,114.96,7.69,7.58,29.75,16.13,8.59,84.49,49.47,2856.8,0,71.848
Gonzalo Fernandez-Castaño,2015,Gonzalo Fernandez-Castaño (2015),33.17,18.5,170.07,114.82,9.7,7.25,22.35,16.41,6.13,87.24,45.45,2765.7,0,71.5
Gonzalo Fernandez-Castaño,2017,Gonzalo Fernandez-Castaño (2017),34.17,15.67,167.53,115.8,10.25,7.25,35.96,20.22,7.59,88.36,47.56,2422.5,0,71.484
Graeme McDowell,2016,Graeme McDowell (2016),32.67,21.5,163.83,111.1,9.69,8,27.34,14.46,4.63,87.66,49.04,2814.2,0,70.899
Graeme McDowell,2017,Graeme McDowell (2017),33.42,16.92,161.07,109.61,10.52,7.92,34.48,28.05,9.76,87.5,50.51,2735.1,0,70.629
Graeme McDowell,2018,Graeme McDowell (2018),34,18.83,164.41,111.44,12.6,7.92,34.4,20.93,7.22,89.12,47.37,2458.3,0,71.001
Graeme McDowell,2019,Graeme McDowell (2019),34.08,18.25,166.89,111.88,11.43,7.25,40,22.92,7.74,89.8,56.62,2728.3,1,70.591
Graham DeLaet,2015,Graham DeLaet (2015),31.33,18.5,173.36,117.83,12.36,7.75,28.77,15.65,5.35,88.94,50.54,2451.7,0,70.72
Graham DeLaet,2016,Graham DeLaet (2016),32.5,18.17,173.42,118.21,9.7,8.5,28.32,17.65,4.89,87.33,44.26,2603.6,0,71.074
Graham DeLaet,2017,Graham DeLaet (2017),31.25,21.75,172.2,116.69,10.99,8.42,33.51,23.7,6.6,87.9,40,2328,0,70.376
Grayson Murray,2017,Grayson Murray (2017),30.58,18.25,180.01,120.48,9.5,8,30.57,19.1,7.19,86.67,51.57,2601.9,1,71.064
Grayson Murray,2018,Grayson Murray (2018),32.75,16.17,178.34,118.59,10.55,7.58,29.71,19.05,8.45,84.27,43.93,2560.1,0,72.091
Greg Chalmers,2015,Greg Chalmers (2015),35.75,15.42,162.18,110.02,9.87,7.25,33.33,18.84,8.53,89.39,50.63,2653.4,1,71.363
Greg Chalmers,2017,Greg Chalmers (2017),36.17,17.92,160.83,108.27,10.46,7.5,31.98,16.41,6.5,88.58,50,2573,0,71.758
Greg Chalmers,2018,Greg Chalmers (2018),40.58,19.92,160.9,108.56,11.06,8.25,34.34,21.69,8.94,89.09,50.44,2213,0,72.531
Greg Owen,2015,Greg Owen (2015),30.17,13.67,169.52,115.24,9.25,7.17,22.81,11.39,6.82,85.4,46.75,2527.9,0,71.512
Greg Owen,2016,Greg Owen (2016),31.92,14.92,174.04,118.35,8.09,8.25,29.86,16.79,5.57,83.12,40.48,2591.9,0,71.677
Hank Lebioda,2019,Hank Lebioda (2019),31.92,16.25,171.71,114.21,8.92,7.58,30.94,18.03,7.82,86.54,43.43,2844.6,0,71.002
Harold Varner III,2016,Harold Varner III (2016),32.67,18.92,173.76,118.18,10.83,8.17,26.7,15.58,6.37,86.54,43.08,2396.8,0,71.045
Harold Varner III,2017,Harold Varner III (2017),31.42,18.67,173.85,118.82,11.14,8.17,30.13,21.05,5.7,85.92,47.97,2433.5,0,70.966
Harold Varner III,2018,Harold Varner III (2018),31.83,20,173.53,116.83,12.49,7.58,28.57,17.45,8.54,87.1,51.95,2311.1,0,70.971
Harold Varner III,2019,Harold Varner III (2019),32.17,17.42,173.51,115.72,11.84,7.33,28.44,10.24,7.94,87.57,58.47,2056.6,0,70.716
Harris English,2015,Harris English (2015),31.33,19.5,176.55,117.74,10.38,7.58,30,20.74,7.3,89.68,47.89,2663.9,0,70.235
Harris English,2016,Harris English (2016),32.83,16.75,175.27,115.8,9.54,7.17,33.52,20.49,8.5,88.55,49.32,2538,0,70.463
Harris English,2017,Harris English (2017),33.08,21.17,176.34,117.82,9.96,7.25,32.18,23.08,6.54,88.79,58.97,2711,0,70.848
Harris English,2018,Harris English (2018),33.5,17.92,175.75,116.77,9.03,7.92,34.27,20.44,8.63,86.53,44.67,2609.4,0,71.162
Harris English,2019,Harris English (2019),35.67,20.5,177.52,117.99,8.99,7.92,37.11,13.61,6.5,90.83,51.37,2962.6,0,71.055
Heath Slocum,2015,Heath Slocum (2015),31.83,15.67,154.4,103.6,11.96,6.75,28.04,18.29,6.67,85.33,60.44,2465.5,0,72.362
Henrik Norlander,2016,Henrik Norlander (2016),31,15.75,166.5,113.05,9.53,7.75,27.22,23.81,6.54,86.7,50,2481.3,0,71.157
Henrik Stenson,2015,Henrik Stenson (2015),32.67,18.08,177.73,121.67,8.49,7.75,33.63,21.95,8.24,88.15,49.43,2527.6,1,69.354
Henrik Stenson,2018,Henrik Stenson (2018),32.42,15.67,174.48,115.85,10.37,7.75,28.13,13.51,7.28,87.56,55.56,2865.8,0,69.617
Henrik Stenson,2019,Henrik Stenson (2019),33.67,19.58,171.69,115.61,9.97,7.33,27.91,9.46,6.17,89.52,49.33,2585.1,0,70.089
Hideki Matsuyama,2015,Hideki Matsuyama (2015),30.67,16.25,170.48,114.39,11.11,6.5,29,19.08,8.31,87.81,48.82,2603.6,1,69.94
Hideki Matsuyama,2016,Hideki Matsuyama (2016),30.83,12.83,169,112.84,11.27,7.25,33.53,19.85,6.93,86.9,52.99,2625.5,1,70.034
Hideki Matsuyama,2017,Hideki Matsuyama (2017),30.25,16.67,172.27,118.13,11.77,7.08,28.4,9.09,7.49,86.49,50.88,2609.8,1,69.624
Hideki Matsuyama,2018,Hideki Matsuyama (2018),31.5,18,173.41,116.94,11.09,7.67,28.65,27.45,7.44,86.94,52.04,2649.3,0,70.022
