Player,StrokeAverage
Russell Knox (2016),70.319
Louis Oosthuizen (2016),70.327
Bubba Watson (2016),70.333
Daniel Berger (2016),70.339
Webb Simpson (2016),70.359
Zach Johnson (2016),70.364
Jimmy Walker (2016),70.393
William McGirt (2016),70.393
Charles Howell III (2016),70.418
Francesco Molinari (2016),70.436
Bill Haas (2016),70.444
Harris English (2016),70.463
Kevin Kisner (2016),70.489
Kevin Chappell (2016),70.501
J.B. Holmes (2016),70.523
Lucas Glover (2016),70.534
Billy Horschel (2016),70.548
Marc Leishman (2016),70.554
Russell Henley (2016),70.558
Si Woo Kim (2016),70.56
Chad Campbell (2016),70.566
Jason Kokrak (2016),70.57
Justin Thomas (2016),70.571
Retief Goosen (2016),70.581
Roberto Castro (2016),70.588
Emiliano Grillo (2016),70.637
Shane Lowry (2016),70.64
Charley Hoffman (2016),70.658
Chez Reavie (2016),70.661
Alex Cejka (2016),70.675
Sean O'Hair (2016),70.677
Tim Wilkinson (2016),70.704
John Senden (2016),70.717
Adam Hadwin (2016),70.719
Keegan Bradley (2016),70.741
Luke List (2016),70.754
Daniel Summerhays (2016),70.771
Johnson Wagner (2016),70.781
Ricky Barnes (2016),70.784
Colt Knost (2016),70.785
Tony Finau (2016),70.797
Freddie Jacobson (2016),70.809
Patrick Rodgers (2016),70.833
Stewart Cink (2016),70.846
Billy Hurley III (2016),70.846
Robert Garrigus (2016),70.848
Scott Piercy (2016),70.855
Brendan Steele (2016),70.855
Sung Kang (2016),70.856
Martin Laird (2016),70.867
David Hearn (2016),70.87
David Toms (2016),70.872
Hudson Swafford (2016),70.875
Aaron Baddeley (2016),70.888
Jamie Lovemark (2016),70.896
Graeme McDowell (2016),70.899
Bryce Molder (2016),70.901
Jhonattan Vegas (2016),70.903
Ben Crane (2016),70.908
Luke Donald (2016),70.918
Chris Kirk (2016),70.92
Patton Kizzire (2016),70.921
Spencer Levin (2016),70.927
Jerry Kelly (2016),70.937
Stuart Appleby (2016),70.95
Kyle Reifers (2016),70.965
Scott Stallings (2016),70.966
Kyle Stanley (2016),70.986
Brett Stegmaier (2016),70.995
Brian Harman (2016),70.996
Boo Weekley (2016),71
Smylie Kaufman (2016),71.015
Vaughn Taylor (2016),71.028
Padraig Harrington (2016),71.032
Blayne Barber (2016),71.032
Harold Varner III (2016),71.045
David Lingmerth (2016),71.05
Kevin Streelman (2016),71.054
Will Wilcox (2016),71.055
Vijay Singh (2016),71.057
Seung-Yul Noh (2016),71.061
Derek Fathauer (2016),71.073
Graham DeLaet (2016),71.074
K.J. Choi (2016),71.093
Scott Brown (2016),71.098
Chris Stroud (2016),71.101
John Huh (2016),71.104
Danny Lee (2016),71.118
Jason Bohn (2016),71.126
Bronson Burgoon (2016),71.132
Anirban Lahiri (2016),71.139
Andrew Landry (2016),71.143
Jon Curran (2016),71.145
Henrik Norlander (2016),71.157
Tyrone Van Aswegen (2016),71.189
Jonas Blixt (2016),71.19
Michael Kim (2016),71.203
Michael Thompson (2016),71.204
Jim Herman (2016),71.206
Matt Jones (2016),71.223
Robert Streb (2016),71.223
Brian Stuard (2016),71.242
James Hahn (2016),71.245
Cameron Tringale (2016),71.256
Nick Taylor (2016),71.281
Ben Martin (2016),71.282
Shawn Stefani (2016),71.287
Thomas Aiken (2016),71.326
Kelly Kraft (2016),71.333
Fabián Gómez (2016),71.346
Mark Hubbard (2016),71.362
Ernie Els (2016),71.371
Morgan Hoffmann (2016),71.372
Dawie van der Walt (2016),71.376
Will MacKenzie (2016),71.402
Tyler Aldridge (2016),71.412
Luke Guthrie (2016),71.416
Andrew Loupe (2016),71.423
Sam Saunders (2016),71.427
Steve Wheatcroft (2016),71.429
Rob Oppenheim (2016),71.435
Mark Wilson (2016),71.436
Camilo Villegas (2016),71.44
