Player,StrokeAverage
Jim Knous (2019),71.483
Fabián Gómez (2019),71.484
Jonathan Byrd (2019),71.49
Sam Saunders (2019),71.493
Peter Uihlein (2019),71.512
Brandon Harkins (2019),71.519
Kelly Kraft (2019),71.529
Ernie Els (2019),71.548
Tyler Duncan (2019),71.577
Scott Langley (2019),71.605
Tom Hoge (2019),71.608
Robert Streb (2019),71.629
Chris Stroud (2019),71.644
David Hearn (2019),71.697
Anirban Lahiri (2019),71.698
Joey Garber (2019),71.713
J.B. Holmes (2019),71.735
Jim Herman (2019),71.75
Sangmoon Bae (2019),71.762
Anders Albertson (2019),71.772
Ollie Schniederjans (2019),71.873
Brendan Steele (2019),71.893
Brady Schnell (2019),71.944
Hunter Mahan (2019),71.948
Freddie Jacobson (2019),71.953
Curtis Luck (2019),72.001
Seamus Power (2019),72.026
Alex Cejka (2019),72.076
Kyle Jones (2019),72.079
Cody Gribble (2019),72.096
J.J. Henry (2019),72.135
Seth Reeves (2019),72.156
"Ted Potter, Jr. (2019)",72.214
Rod Pampling (2019),72.304
Martin Trainer (2019),72.343
Whee Kim (2019),72.474
John Chin (2019),72.485
Satoshi Kodaira (2019),72.78
Michael Kim (2019),73.569
